year,month,day,hour,minute,Celsius,PAH,PAH-24,PAH-12,PAH-6,PAH-3,PAH-1,PAH+1,PAH+2,PAH+3,PAH+4,PAH+6,PAH+12,PAH+24,MPAH-6,MPAH-3,DayOfWeek
2019,7,4,0,0,12.96111111,18,18.1,11.9,33,31.4,19.1,18.7,18.4,17.5,16.1,15.2,6.1,18.2,22.26666667,25.45833333,5
2019,7,4,0,15,12.96111111,18.7,18.1,13.6,30.7,29.5,18.8,18.1,18.3,17.4,15.7,15,6.1,18,22.39375,24.83333333,5
2019,7,4,0,30,12.96111111,18.5,18,13.8,28.6,27.2,18.5,18,18.6,17.6,14,15.5,6.4,18.2,22.5,24.33333333,5
2019,7,4,0,45,12.96111111,18.6,18.2,14.2,26.5,25.2,18.3,18.2,18.2,16.6,13.7,16,6.8,18.1,22.59791667,23.9125,5
2019,7,4,1,0,12.96111111,18.7,17.8,12.7,25.7,22.2,18,18.4,17.5,16.1,14,16.9,6.1,18.4,22.68958333,23.58333333,5
2019,7,4,1,15,12.96111111,18.1,18.2,11.4,26.1,20.5,18.7,18.3,17.4,15.7,14.5,16.6,5.9,18.7,22.81458333,23.29166667,5
2019,7,4,1,30,12.96111111,18,18.1,12,26.4,19.4,18.5,18.6,17.6,14,15.3,16.5,6.3,18.9,22.95416667,22.95833333,5
2019,7,4,1,45,12.96111111,18.2,17.9,10.8,26.7,18.7,18.6,18.2,16.6,13.7,15.3,16.5,6.1,18.7,23.07916667,22.60833333,5
2019,7,4,2,0,12.51111111,18.4,18.4,10.1,27.7,19.1,18.7,17.5,16.1,14,15.2,14.3,6.5,18.6,23.23333333,22.25416667,5
2019,7,4,2,15,12.51111111,18.3,17.9,10.5,29.1,18.8,18.1,17.4,15.7,14.5,15,15,6.5,18.1,23.40625,21.86666667,5
2019,7,4,2,30,12.51111111,18.6,18,9.4,30.5,18.5,18,17.6,14,15.3,15.5,14.1,6.2,17.9,23.56875,21.41666667,5
2019,7,4,2,45,12.51111111,18.2,18.2,10.2,31.2,18.3,18.2,16.6,13.7,15.3,16,14.7,5.9,17.8,23.76041667,20.92083333,5
2019,7,4,3,0,12.8,17.5,17.7,10.7,31.4,18,18.4,16.1,14,15.2,16.9,17,6.4,17.5,23.92708333,20.37916667,5
2019,7,4,3,15,12.8,17.4,17.3,12.9,29.5,18.7,18.3,15.7,14.5,15,16.6,18.6,6.9,17.8,24.06875,19.8,5
2019,7,4,3,30,12.8,17.6,17.6,17,27.2,18.5,18.6,14,15.3,15.5,16.5,20.8,6.7,18.6,24.1625,19.29583333,5
2019,7,4,3,45,12.8,16.6,17.1,19.9,25.2,18.6,18.2,13.7,15.3,16,16.5,22.6,7.6,19.2,24.175,18.89583333,5
2019,7,4,4,0,12.8,16.1,17.8,24.8,22.2,18.7,17.5,14,15.2,16.9,14.3,24,7.2,19.1,24.10625,18.5375,5
2019,7,4,4,15,12.8,15.7,18.3,27.4,20.5,18.1,17.4,14.5,15,16.6,15,21.3,6.9,18.7,23.925,18.28333333,5
2019,7,4,4,30,12.8,14,18,30.6,19.4,18,17.6,15.3,15.5,16.5,14.1,17.3,8.9,17.2,23.68125,18.08333333,5
2019,7,4,4,45,12.8,13.7,17.3,34,18.7,18.2,16.6,15.3,16,16.5,14.7,12.4,14.3,15.4,23.33541667,17.85833333,5
2019,7,4,5,0,13.36666667,14,16.1,34.6,19.1,18.4,16.1,15.2,16.9,14.3,17,7.4,21,13.5,22.9125,17.65,5
2019,7,4,5,15,13.36666667,14.5,14,35.6,18.8,18.3,15.7,15,16.6,15,18.6,5.7,27.1,11.8,22.48333333,17.4375,5
2019,7,4,5,30,13.36666667,15.3,12.1,35.1,18.5,18.6,14,15.5,16.5,14.1,20.8,5.6,32.1,10.4,22.04375,17.25833333,5
