HistoricWindow,PredictionWindow,MAE,MSE,RMSE
PAH-24,quarter,1.1002288620470437,3.168470025429116,1.7800196699556765
PAH-24,half,1.6547933884297519,8.610643452002543,2.934389792103725
PAH-24,PAH+1,2.5302129688493324,20.11381430387794,4.484842729001536
PAH-24,PAH+2,3.212703432930706,29.764641973935156,5.455698119758383
PAH-24,PAH+3,3.5561729179910997,36.02708833439288,6.002256936719127
PAH-24,PAH+4,3.6717911633820726,39.74534330896376,6.3043907960217505
PAH-24,PAH+6,3.8415050858232678,43.11737093134139,6.566381875229417
PAH-24,PAH+12,4.010061983471074,42.071913366179274,6.486286562138561
PAH-24,PAH+24,3.5035855054036875,31.90216948506039,5.648200552836309
PAH-12,quarter,1.0952368086458995,3.105168229497775,1.7621487535102633
PAH-12,half,1.6354402415766054,8.384675603941512,2.895630432900841
PAH-12,PAH+1,2.4265368722186906,18.770906849968213,4.332540461434632
PAH-12,PAH+2,2.9961999364272094,25.88484102034329,5.0877147149131
PAH-12,PAH+3,3.2543992371265094,29.375095740623014,5.419879679533763
PAH-12,PAH+4,3.3194643992371264,30.892587333121426,5.558110050468723
PAH-12,PAH+6,3.435662746344565,32.14077630324221,5.669283579363641
PAH-12,PAH+12,3.539747298156389,33.42765980610299,5.7816658331403925
PAH-12,PAH+24,3.6268515575333757,32.97787805149396,5.742636855269011
PAH-6,quarter,1.064124284806103,2.9847753814367453,1.72765024858527
PAH-6,half,1.6061220597584236,8.376893388429751,2.8942863349070618
PAH-6,PAH+1,2.4215019071837256,18.785226239669424,4.334192686033862
PAH-6,PAH+2,3.028577558804831,26.298815877304513,5.128237112040015
PAH-6,PAH+3,3.3258709472345833,31.01046989828354,5.568704508077578
PAH-6,PAH+4,3.490707247298156,34.70964038461538,5.891488808833925
PAH-6,PAH+6,3.636991417673235,35.848263429752066,5.987341933592241
PAH-6,PAH+12,3.681258741258741,34.53292714558169,5.8764723385362485
PAH-6,PAH+24,3.5837031150667515,33.843538811188814,5.817519988035178
PAH-3,quarter,1.0519993642720915,2.902950572155117,1.7038047341626672
PAH-3,half,1.5894628099173553,8.124593165924983,2.850367198436893
PAH-3,PAH+1,2.4052844882390336,18.792812190082643,4.335067726124085
PAH-3,PAH+2,2.9167339478703114,25.6326576764145,5.062870497693428
PAH-3,PAH+3,3.311431977113795,31.629241560712018,5.623988047703517
PAH-3,PAH+4,3.5178289891926258,37.04836493960585,6.086736805514581
PAH-3,PAH+6,3.7796233312142404,40.60445427527018,6.372162448907763
PAH-3,PAH+12,3.868410680228862,38.78131729179911,6.227464756367483
PAH-3,PAH+24,3.690705657978385,35.27608016528925,5.939366983550457
PAH-1,quarter,0.9851080737444374,2.6490738080101712,1.6275975571406376
PAH-1,half,1.499020979020979,7.4073507946598856,2.7216448693133874
PAH-1,PAH+1,2.33888270820089,18.02172166242848,4.245199837749512
PAH-1,PAH+2,2.953130959949142,25.716477813095995,5.07114166762239
PAH-1,PAH+3,3.339858550540369,32.139983963763505,5.6692136988971855
PAH-1,PAH+4,3.5085839160839165,36.57336285759695,6.047591492288228
PAH-1,PAH+6,3.799019389701208,41.679337714558166,6.455953664220195
PAH-1,PAH+12,3.9356357279084553,41.665176096630645,6.454856783587894
PAH-1,PAH+24,3.664391290527654,35.40712557215512,5.950388690846601
