year,month,day,hour,minute,Celsius,PAH,PAH-24,PAH-12,PAH-6,PAH-3,PAH-1,PAH+1,PAH+2,PAH+3,PAH+4,PAH+6,PAH+12,PAH+24
2018,12,14,17,30,3.238888889,9.5,8,7.8,6.7,7.1,20.5,9.3,9.5,9.4,9.2,9.1,9.1,10.6
2018,12,14,17,45,3.238888889,9.4,7.95,9.8,6.7,7.1,16.9,9.3,9.3,9.5,9.3,9.1,9,10.4
2018,12,14,18,0,3.072222222,9.2,7.9,11.8,6.4,7.3,13.2,9.6,9.3,9.5,9.2,8.9,9.1,10.3
2018,12,14,18,15,3.072222222,9.3,7.95,9.8,6.5,7.7,9.6,9.5,9.2,9.5,9.5,8.9,11.4,10.6
2018,12,14,18,30,3.072222222,9.3,8,7.8,6.5,11.8,9.5,9.5,9.4,9.2,9.6,8.9,9.2,10.4
2018,12,14,18,45,3.072222222,9.3,7.7,7.8,6.6,16.2,9.4,9.3,9.5,9.3,9.6,8.9,9.3,10.5
2018,12,14,19,0,3.072222222,9.6,7.4,7.8,6.9,20.1,9.2,9.3,9.5,9.2,9.6,9,9.1,10.4
2018,12,14,19,15,3.072222222,9.5,7.45,7.9,7,24,9.3,9.2,9.5,9.5,9.3,9,9.2,10.3
2018,12,14,19,30,3.072222222,9.5,7.5,8,7.2,20.5,9.3,9.4,9.2,9.6,9.1,9.1,8.9,10.5
2018,12,14,19,45,3.072222222,9.3,7.85,7.85,7,16.9,9.3,9.5,9.3,9.6,9.1,9,9.2,10.5
2018,12,14,20,0,2.855555556,9.3,8.2,7.7,7.2,13.2,9.6,9.5,9.2,9.6,8.9,9.1,11.8,10.6
2018,12,14,20,15,2.855555556,9.2,8.15,7.45,7.1,9.6,9.5,9.5,9.5,9.3,8.9,9.1,15.1,10.5
2018,12,14,20,30,2.855555556,9.4,8.1,7.2,7.1,9.5,9.5,9.2,9.6,9.1,8.9,9.1,18.5,10.5
2018,12,14,20,45,2.855555556,9.5,8.2,7.1,7.1,9.4,9.3,9.3,9.6,9.1,8.9,9.1,21.7,10.6
2018,12,14,21,0,2.677777778,9.5,8.3,7,7.3,9.2,9.3,9.2,9.6,8.9,9,8.9,19.9,10.7
2018,12,14,21,15,2.677777778,9.5,8.3,6.95,7.7,9.3,9.2,9.5,9.3,8.9,9,8.9,16.6,10.8
2018,12,14,21,30,2.677777778,9.2,8.3,6.9,11.8,9.3,9.4,9.6,9.1,8.9,9.1,9,13,10.8
2018,12,14,21,45,2.677777778,9.3,8.15,6.75,16.2,9.3,9.5,9.6,9.1,8.9,9,9,9.4,10.7
2018,12,14,22,0,2.677777778,9.2,8,6.6,20.1,9.6,9.5,9.6,8.9,9,9.1,9.2,8.5,10.5
2018,12,14,22,15,2.677777778,9.5,8.1,6.6,24,9.5,9.5,9.3,8.9,9,9.1,9.1,8.5,10.7
2018,12,14,22,30,2.677777778,9.6,8.2,6.6,20.5,9.5,9.2,9.1,8.9,9.1,9.1,9,8.6,10.8
2018,12,14,22,45,2.677777778,9.6,8.2,6.75,16.9,9.3,9.3,9.1,8.9,9,9.1,9,8.4,10.8
2018,12,14,23,0,2.261111111,9.6,8.2,6.9,13.2,9.3,9.2,8.9,9,9.1,8.9,8.9,8,10.8
2018,12,14,23,15,2.261111111,9.3,7.95,6.8,9.6,9.2,9.5,8.9,9,9.1,8.9,9,7.5,10.6
2018,12,14,23,30,2.261111111,9.1,7.7,6.7,9.5,9.4,9.6,8.9,9.1,9.1,9,9.1,7.1,10.6
2018,12,14,23,45,2.261111111,9.1,7.65,6.7,9.4,9.5,9.6,8.9,9,9.1,9,9,7,10.5
2018,12,15,0,0,2.244444444,8.9,7.6,6.4,9.2,9.5,9.6,9,9.1,8.9,9.2,9.1,7.2,10.5
2018,12,15,0,15,2.244444444,8.9,7.7,6.5,9.3,9.5,9.3,9,9.1,8.9,9.1,11.4,7.1,10.3
2018,12,15,0,30,2.244444444,8.9,7.8,6.5,9.3,9.2,9.1,9.1,9.1,9,9,9.2,7.2,10.2
2018,12,15,0,45,2.244444444,8.9,7.9,6.6,9.3,9.3,9.1,9,9.1,9,9,9.3,7.1,10.1
2018,12,15,1,0,2.244444444,9,8,6.9,9.6,9.2,8.9,9.1,8.9,9.2,8.9,9.1,7.1,10.2
2018,12,15,1,15,2.244444444,9,8.1,7,9.5,9.5,8.9,9.1,8.9,9.1,9,9.2,7.2,10.1
2018,12,15,1,30,2.244444444,9.1,8.2,7.2,9.5,9.6,8.9,9.1,9,9,9.1,8.9,7.3,10.1
2018,12,15,1,45,2.244444444,9,8.05,7,9.3,9.6,8.9,9.1,9,9,9,9.2,7.2,10.2
2018,12,15,2,0,1.95,9.1,7.9,7.2,9.3,9.6,9,8.9,9.2,8.9,9.1,11.8,7.4,10
2018,12,15,2,15,1.95,9.1,7.95,7.1,9.2,9.3,9,8.9,9.1,9,11.4,15.1,7.9,10.3
2018,12,15,2,30,1.95,9.1,8,7.1,9.4,9.1,9.1,9,9,9.1,9.2,18.5,8.4,10.3
2018,12,15,2,45,1.95,9.1,8.1,7.1,9.5,9.1,9,9,9,9,9.3,21.7,8.9,10.3
2018,12,15,3,0,1.994444444,8.9,8.2,7.3,9.5,8.9,9.1,9.2,8.9,9.1,9.1,19.9,9.3,10.3
2018,12,15,3,15,1.994444444,8.9,8.05,7.7,9.5,8.9,9.1,9.1,9,11.4,9.2,16.6,9.7,10
2018,12,15,3,30,1.994444444,9,7.9,11.8,9.2,8.9,9.1,9,9.1,9.2,8.9,13,10.5,9.9
2018,12,15,3,45,1.994444444,9,7.85,16.2,9.3,8.9,9.1,9,9,9.3,9.2,9.4,11.3,10
2018,12,15,4,0,1.994444444,9.2,7.8,20.1,9.2,9,8.9,8.9,9.1,9.1,11.8,8.5,11.7,9.9
2018,12,15,4,15,1.994444444,9.1,7.9,24,9.5,9,8.9,9,11.4,9.2,15.1,8.5,11.4,10.1
2018,12,15,4,30,1.994444444,9,8,20.5,9.6,9.1,9,9.1,9.2,8.9,18.5,8.6,10.9,10.2
2018,12,15,4,45,1.994444444,9,7.9,16.9,9.6,9,9,9,9.3,9.2,21.7,8.4,10.7,10.1
2018,12,15,5,0,1.744444444,8.9,7.9,13.2,9.6,9.1,9.2,9.1,9.1,11.8,19.9,8,10.6,10.1
2018,12,15,5,30,1.744444444,9.1,7.8,9.5,9.1,9.1,9,9.2,8.9,18.5,13,7.1,10.6,10.1
2018,12,15,5,45,1.744444444,9,9.8,9.4,9.1,9.1,9,9.3,9.2,21.7,9.4,7,10.4,10.1
