HistoricWindow,PredictionWindow,MAE,MSE,RMSE
PAH-24,quarter,1.121419868014749,3.0932674033665783,1.7587687179861309
PAH-24,half,1.6552708951399715,8.237107451514465,2.8700361411512687
PAH-24,PAH+1,2.4999825931593294,19.047207159764454,4.3643106167829595
PAH-24,PAH+2,3.2345731821006676,28.939176374292114,5.379514511021614
PAH-24,PAH+3,3.589219855902591,34.98563793874442,5.914865842835695
PAH-24,PAH+4,3.7618288805620312,39.24521696261526,6.264600303500237
PAH-24,PAH+6,3.953687313201875,42.569010826944535,6.524493147129863
PAH-24,PAH+12,4.138675392330897,42.7115546481863,6.535407764492304
PAH-24,PAH+24,3.579794728543659,32.12891483517789,5.668237365811164
PAH-12,quarter,1.1036413371988238,3.038629072131547,1.7431663925545224
PAH-12,half,1.627607861835108,8.113545459782925,2.848428594819067
PAH-12,PAH+1,2.4323789896982833,18.43831704887505,4.293986149124732
PAH-12,PAH+2,3.056626513298125,26.112588660127862,5.110047813878835
PAH-12,PAH+3,3.3558139984876827,30.05366573388267,5.482122374945918
PAH-12,PAH+4,3.442336453140337,32.703998670086996,5.718741003934957
PAH-12,PAH+6,3.595220547555658,34.59194797783255,5.881491985698233
PAH-12,PAH+12,3.59936313785294,33.614581012997284,5.797808293915666
PAH-12,PAH+24,3.659957177514924,32.8855435686497,5.734591839760673
PAH-6,quarter,1.0678816190171172,2.860098932155618,1.6911827021808192
PAH-6,half,1.5976982411516054,7.952979812833015,2.82010280182
PAH-6,PAH+1,2.410761986748379,18.18118971753747,4.263940632506212
PAH-6,PAH+2,3.061487105181786,26.458969640959477,5.143828305937075
PAH-6,PAH+3,3.4272611774402892,32.022049520102435,5.658802834531562
PAH-6,PAH+4,3.6057100256331216,35.70942482930597,5.975736342017273
PAH-6,PAH+6,3.771997665655833,37.499441141835455,6.12367872620988
PAH-6,PAH+12,3.8443483794411155,36.516400023174256,6.042880109945443
PAH-6,PAH+24,3.6017368088394948,33.373241068251865,5.776957769297943
PAH-3,quarter,1.0542347286523204,2.8298030445923548,1.682201844188846
PAH-3,half,1.573426078971694,7.801011981069834,2.7930291765518374
PAH-3,PAH+1,2.3709493725960744,17.971605519413615,4.239293044767443
PAH-3,PAH+2,2.985047164384917,25.961325907461404,5.095225795532658
PAH-3,PAH+3,3.3873882235945807,32.58670479078508,5.708476573551395
PAH-3,PAH+4,3.6042202991523205,37.59339491175223,6.131345277486192
PAH-3,PAH+6,3.817117867005626,39.885969417201714,6.315533977202697
PAH-3,PAH+12,3.988241016676748,40.32067074820853,6.349855962792269
PAH-3,PAH+24,3.676738952523077,34.71889639783579,5.892274297572695
PAH-1,quarter,0.9982584202425779,2.649948658755372,1.6278662901956573
PAH-1,half,1.492704439500016,7.271603813405034,2.6965911468750754
PAH-1,PAH+1,2.3097142894960743,17.54239569040772,4.188364321594734
PAH-1,PAH+2,2.9909728376559914,25.87586811941282,5.086832818111169
PAH-1,PAH+3,3.4303545584330895,33.0592127549636,5.749714145500071
PAH-1,PAH+4,3.6208939309100128,37.80081278200336,6.148236558721806
PAH-1,PAH+6,3.888540797512953,42.84312510624915,6.545465996111289
PAH-1,PAH+12,4.076254332154784,43.7838655383847,6.616937776523571
PAH-1,PAH+24,3.7074188658807694,35.63251754166862,5.969297910279618
