MovingAverage,HistoricWindow,PredictionWindow,MAE,MSE,RMSE
MPAH-24,PAH-24,quarter,0.7763344940614588,1.9360566503809424,1.3914225276244965
MPAH-24,PAH-24,half,1.4285016758895064,7.132835639628599,2.6707369094743494
MPAH-24,PAH-24,PAH+1,2.4334578764681014,18.706962714617767,4.325154646323963
MPAH-24,PAH-24,PAH+2,3.378161503357884,30.232560524161133,5.498414364538301
MPAH-24,PAH-24,PAH+3,3.8460026580647244,37.05141861439665,6.086987646972569
MPAH-24,PAH-24,PAH+4,4.0866540680372525,41.60795850383971,6.450423125953809
MPAH-24,PAH-24,PAH+6,4.215803582867773,42.514088552914636,6.5202828583516705
MPAH-24,PAH-24,PAH+12,4.354502967350743,45.403524180580135,6.738213723278606
MPAH-24,PAH-24,PAH+24,4.0042709666263665,37.31773629664217,6.108824461108878
MPAH-24,PAH-12,quarter,0.7735846334465822,1.9351174713249222,1.3910849978793252
MPAH-24,PAH-12,half,1.4241919720360734,7.146025805165049,2.673205155831675
MPAH-24,PAH-12,PAH+1,2.428832032861977,18.732471368981155,4.328102513686702
MPAH-24,PAH-12,PAH+2,3.361230122792531,29.924259605019035,5.470307085074753
MPAH-24,PAH-12,PAH+3,3.83063169784006,36.48342143861074,6.0401507794599585
MPAH-24,PAH-12,PAH+4,4.069100180962782,40.857411975009406,6.39198028587459
MPAH-24,PAH-12,PAH+6,4.20725980854971,42.26419287269115,6.5010916677655874
MPAH-24,PAH-12,PAH+12,3.969354519345668,38.99965771802548,6.244970593847939
MPAH-24,PAH-12,PAH+24,4.078552166348569,38.97476947156461,6.242977612611198
MPAH-24,PAH-6,quarter,0.7747701103081635,1.9288962528888138,1.3888470948555907
MPAH-24,PAH-6,half,1.428505079347033,7.120551340541677,2.6684361226271984
MPAH-24,PAH-6,PAH+1,2.43495826499678,18.651382368061945,4.318724622855913
MPAH-24,PAH-6,PAH+2,3.3891089639092065,30.002465106399555,5.477450602826059
MPAH-24,PAH-6,PAH+3,3.8569529438627037,36.904922165990364,6.074942153304043
MPAH-24,PAH-6,PAH+4,4.10726214563034,41.65555775940636,6.454111694060335
MPAH-24,PAH-6,PAH+6,4.224266028025686,42.53234819768886,6.521682926798025
MPAH-24,PAH-6,PAH+12,4.35152926278352,45.45978362317625,6.7423870864239355
MPAH-24,PAH-6,PAH+24,4.079064728455934,39.00924072735816,6.245737804884077
MPAH-24,PAH-3,quarter,0.7658144713593367,1.8571234054751002,1.3627631509088804
MPAH-24,PAH-3,half,1.408427584243238,6.901594040219579,2.627088510160931
MPAH-24,PAH-3,PAH+1,2.403339531560944,18.187281554273117,4.264654916200502
MPAH-24,PAH-3,PAH+2,3.34616269864278,28.793230641004467,5.365932411147616
MPAH-24,PAH-3,PAH+3,3.8259044178072044,35.55049764153678,5.9624238059313415
MPAH-24,PAH-3,PAH+4,4.102893360902306,40.59438325571119,6.371372164276012
MPAH-24,PAH-3,PAH+6,4.235264172459454,42.63724202752579,6.529719904216856
MPAH-24,PAH-3,PAH+12,4.368250092057975,45.51229471524093,6.746280064986994
MPAH-24,PAH-3,PAH+24,4.0749781722033,38.96655298181337,6.242319519362444
MPAH-24,PAH-1,quarter,0.7439252097523479,1.7562450418482234,1.3252339574008143
MPAH-24,PAH-1,half,1.3908328950287914,6.815276897724701,2.610608530156274
MPAH-24,PAH-1,PAH+1,2.411053061540121,18.55739258599297,4.307829219687449
MPAH-24,PAH-1,PAH+2,3.3449314739534937,29.401970448083837,5.422358384327232
MPAH-24,PAH-1,PAH+3,3.8164508385631093,35.774080572134345,5.981143751167861
MPAH-24,PAH-1,PAH+4,4.080272854251437,40.54184188575719,6.367247591051975
MPAH-24,PAH-1,PAH+6,4.233734588142446,42.5278697697137,6.521339568655638
MPAH-24,PAH-1,PAH+12,4.366942167005466,45.681779484452534,6.758829742229977
MPAH-24,PAH-1,PAH+24,4.062644637557541,38.97900195313563,6.243316582805619
MPAH-12,PAH-24,quarter,0.7779230583830449,1.9334630698758941,1.3904902264582424
