HistoricWindow,PredictionWindow,MAE,MSE,RMSE
PAH-24,quarter,0.7776723896625591,1.9372512341492576,1.3918517285074792
PAH-24,half,1.43033761652732,7.167782536397471,2.677271472301132
PAH-24,PAH+1,2.45663606585989,19.17726338247692,4.379185241854576
PAH-24,PAH+2,3.5131937873801866,32.813823456006745,5.728335138241018
PAH-24,PAH+3,4.170492965899603,43.78495069750711,6.6170197746045085
PAH-24,PAH+4,4.624369584632382,53.54379951907255,7.31736288010049
PAH-24,PAH+6,5.0431181646230465,62.386035133575085,7.898483090668428
PAH-24,PAH+12,5.341358815557956,65.99991471141789,8.124033155484897
PAH-24,PAH+24,4.027069593658934,38.28492417581746,6.187481246502284
PAH-12,quarter,0.7741838115871092,1.9364926820580113,1.3915792043782529
PAH-12,half,1.427053936726578,7.205687895415715,2.6843412404937856
PAH-12,PAH+1,2.4501765483296434,19.348370915159084,4.3986783145803106
PAH-12,PAH+2,3.516882846283872,32.509513117706284,5.701711420065583
PAH-12,PAH+3,4.143405250433418,42.611119157441735,6.527719292175616
PAH-12,PAH+4,4.556915351927247,51.128353083353026,7.1504092948133415
PAH-12,PAH+6,4.853507277141337,56.88684562257308,7.542336880740152
PAH-12,PAH+12,4.072261800116497,40.79534221080806,6.387123156070193
PAH-12,PAH+24,4.1398979558490465,41.159727307999404,6.4155847206626
PAH-6,quarter,0.7722477298189689,1.9393133247709056,1.3925923038602883
PAH-6,half,1.4179236196228442,7.229380771595705,2.6887507827234014
PAH-6,PAH+1,2.424431802079705,19.47716618043945,4.413294254912021
PAH-6,PAH+2,3.4506749987730174,32.47119378044498,5.698350092829062
PAH-6,PAH+3,4.051147235000249,42.03557127353052,6.483484500909254
PAH-6,PAH+4,4.450840425905232,49.77518291300864,7.055152933353652
PAH-6,PAH+6,4.818068892682908,56.69404999249627,7.529545138485875
PAH-6,PAH+12,5.1054138540592655,60.25966794121279,7.762710089988727
PAH-6,PAH+24,4.1232030535394815,41.0345229262244,6.40581945782305
PAH-3,quarter,0.7666530567452633,1.903032400807659,1.3795044040551878
PAH-3,half,1.4159580944758523,7.194989220401532,2.6823477068421857
PAH-3,PAH+1,2.4460991261050786,19.74212584990189,4.443211209238414
PAH-3,PAH+2,3.5174056231742976,33.740182583408675,5.808630009168141
PAH-3,PAH+3,4.1915340836795165,45.06225820181885,6.71284278095494
PAH-3,PAH+4,4.626579693415891,54.45190266837259,7.379153248738814
PAH-3,PAH+6,4.96275524115477,61.0251287117893,7.811858211193371
PAH-3,PAH+12,5.244461352801766,64.70897456356631,8.044188869212752
PAH-3,PAH+24,4.11743392167687,41.07725252769376,6.40915380746115
PAH-1,quarter,0.7453970551556036,1.797732557874892,1.3407954944266824
PAH-1,half,1.39845503124055,7.059279988427266,2.6569305576975975
PAH-1,PAH+1,2.4525643899685727,19.817891783174133,4.4517290779172685
PAH-1,PAH+2,3.517861586844365,33.68798840422273,5.804135457087708
PAH-1,PAH+3,4.210372137251294,45.379660758940915,6.736442737746749
PAH-1,PAH+4,4.678241464985397,55.723677443286995,7.464829364646388
PAH-1,PAH+6,5.083986289134028,64.39465309382032,8.02462790999186
PAH-1,PAH+12,5.368257907800029,67.63327740388866,8.223945367272854
PAH-1,PAH+24,4.124461651314583,41.8262280743199,6.4673200071064905
