HistoricWindow,PredictionWindow,MAE,MSE,RMSE
PAH-24,PAH+1,4.014952095014371,39.480769325766225,6.283372448436128
PAH-24,PAH+2,3.930222354572303,37.64485060811846,6.135539960599919
PAH-24,PAH+3,4.393983022908609,48.254625137853935,6.9465549114545935
PAH-24,PAH+4,4.245376030806807,46.14864450973058,6.793279363439323
PAH-24,PAH+6,4.123349107762889,38.23100333260989,6.183122458160592
PAH-24,PAH+12,3.946766550835783,36.91648986523826,6.075894161787075
PAH-24,PAH+24,3.899036574483921,34.53169749356592,5.876367712589634
PAH-12,PAH+1,4.650308142687707,54.43205472167359,7.377808260023676
PAH-12,PAH+2,4.358795704022596,46.19931870635274,6.797008070199177
PAH-12,PAH+3,4.450160785983601,45.76860779421853,6.765250017125644
PAH-12,PAH+4,4.245407945060089,44.119083090427836,6.642219741203074
PAH-12,PAH+6,4.118673973439735,38.719540385375765,6.222502742898212
PAH-12,PAH+12,3.961183396227499,39.60978983515134,6.293630894416302
PAH-12,PAH+24,3.9429928001208636,34.48461197441962,5.872360000410365
PAH-6,PAH+1,4.107983895426013,44.503306755389836,6.671079879254171
PAH-6,PAH+2,3.891825941926524,36.32597409914115,6.027103292556147
PAH-6,PAH+3,3.9577302472427682,38.786646053770056,6.227892585278752
PAH-6,PAH+4,3.9970096451910417,39.57892925826603,6.2911786859273064
PAH-6,PAH+6,4.424136353327082,45.505553147457974,6.745780395733171
PAH-6,PAH+12,4.007172685125349,38.879743109105675,6.2353623077657385
PAH-6,PAH+24,4.137748510073247,37.174861774531465,6.097119137308329
PAH-3,PAH+1,4.310372890643661,49.33173835325736,7.023655626043845
PAH-3,PAH+2,4.175097031677796,44.508622641815975,6.671478295086928
PAH-3,PAH+3,4.360773328199265,45.78984256037349,6.766819235089223
PAH-3,PAH+4,3.8208734002945755,35.34056950970474,5.944793479146668
PAH-3,PAH+6,4.107923299386309,39.13638049427444,6.255907647518019
PAH-3,PAH+12,4.059644334695323,38.64115810748319,6.216201260213764
PAH-3,PAH+24,4.157374640072232,38.08352130595015,6.171184757074621
PAH-1,PAH+1,3.41689448279868,30.381382872629118,5.5119309568089765
PAH-1,PAH+2,3.8865289820524125,36.16562458736633,6.013786210646861
PAH-1,PAH+3,3.9147836815920427,37.38201168173001,6.114083061402585
PAH-1,PAH+4,4.075640183627794,42.59930840655291,6.526814568114595
PAH-1,PAH+6,3.878234139089474,35.56082474089762,5.963289758254048
PAH-1,PAH+12,3.903176867810352,36.901289973215,6.074643197193972
PAH-1,PAH+24,3.853479459249043,34.59179521751361,5.881478999156046
