HistoricWindow,PredictionWindow,MAE,MSE,RMSE
PAH-24,quarter,0.7977304018911797,1.9554047788624722,1.3983578865449546
PAH-24,half,1.4166929890965072,6.896672033470871,2.626151563309108
PAH-24,PAH+1,2.2147170828797647,15.552076723763923,3.9436121416493184
PAH-24,PAH+2,2.9136695032060755,22.390664175957607,4.731877447267375
PAH-24,PAH+3,3.236898142863838,25.5913823024505,5.058792573574301
PAH-24,PAH+4,3.2122987890454473,26.63523812353793,5.160933842197353
PAH-24,PAH+6,3.3106625993833094,26.708219221887077,5.167999537721252
PAH-24,PAH+12,3.4499682944048087,28.80328623322167,5.366869313968961
PAH-24,PAH+24,3.7168867169350377,30.70074659954577,5.540825443879799
PAH-12,quarter,0.7912396759968698,1.975474741975311,1.4055158277213782
PAH-12,half,1.40795392401383,6.5199737930806565,2.5534239352447248
PAH-12,PAH+1,2.2175391869335606,15.992347054038907,3.99904326733769
PAH-12,PAH+2,3.144167834551188,25.712506450177834,5.070750087529244
PAH-12,PAH+3,3.1199416027569646,24.3408399920586,4.933643683126965
PAH-12,PAH+4,3.171794055921234,25.742508505326576,5.073707569945924
PAH-12,PAH+6,3.352233383468767,27.27549904609856,5.22259504902482
PAH-12,PAH+12,3.4443246995540098,28.736854401996958,5.3606766738908025
PAH-12,PAH+24,3.6549279020823735,30.454294633493976,5.518540987751561
PAH-6,quarter,0.7919572911453192,1.939107487376514,1.392518397500196
PAH-6,half,1.3946616915422858,6.7847054672035485,2.604746718436084
PAH-6,PAH+1,2.1685628529714545,15.421693254234729,3.9270463779072853
PAH-6,PAH+2,2.862550359771675,21.905746664701297,4.680357535990312
PAH-6,PAH+3,3.197251185471757,25.279243446136945,5.027846800185636
PAH-6,PAH+4,3.240498657718054,26.887302162335658,5.185296728475205
PAH-6,PAH+6,3.2830990339002795,26.776264798589864,5.174578707352886
PAH-6,PAH+12,3.5711923778132864,30.138749526531782,5.489877004681597
PAH-6,PAH+24,3.4945490473608203,27.72041248444187,5.265017804760196
PAH-3,quarter,0.7635166819528895,1.842782897226927,1.357491398583036
PAH-3,half,1.3499482470716238,6.394319509074344,2.5286991733051885
PAH-3,PAH+1,2.267776055522605,16.50090923864141,4.062131120316208
PAH-3,PAH+2,2.8584361153531983,21.903885463606407,4.680158700685951
PAH-3,PAH+3,3.2191642761073402,25.04563997430234,5.004561916322181
PAH-3,PAH+4,3.359480251089842,28.072020475829742,5.298303546969515
PAH-3,PAH+6,3.4061229080636006,28.59586326374068,5.347510005950497
PAH-3,PAH+12,3.4331959763832893,29.58131203611188,5.438870474290767
PAH-3,PAH+24,3.6412680109448834,29.63880455766938,5.444153245241116
PAH-1,quarter,0.7242967800942719,1.609277941431749,1.2685731912001565
PAH-1,half,1.3105283677887258,6.055291253830601,2.4607501404715193
PAH-1,PAH+1,2.280430448308367,16.108768374465505,4.0135730184544425
PAH-1,PAH+2,3.0434542260950797,24.80722571179462,4.980685265281738
PAH-1,PAH+3,3.117369729807442,23.651161439426406,4.863245977680587
PAH-1,PAH+4,3.417628335064129,30.695703377353805,5.540370328538861
PAH-1,PAH+6,3.4273224737929917,29.075682319709653,5.392187155478717
PAH-1,PAH+12,3.555793330835823,29.45601228749392,5.427339337787339
PAH-1,PAH+24,3.8317394162917897,34.60633957656893,5.882715323434318
