HistoricWindow,PredictionWindow,MAE,MSE,RMSE
PAH-24,quarter,1.7875271865646256,10.152065846528759,3.1862306643632627
PAH-24,half,1.1760927888225547,5.6112793371304,2.368813909350078
PAH-24,PAH+1,2.417757718697945,17.01170323812758,4.124524607530859
PAH-24,PAH+2,3.0094603420688526,23.32428658328822,4.8295223970169365
PAH-24,PAH+3,3.2502728891467174,25.78101974759631,5.077501329157513
PAH-24,PAH+4,3.405460704762178,27.903574294596723,5.282383391481228
PAH-24,PAH+6,3.2724087286008543,26.096198231046646,5.108443816960959
PAH-24,PAH+12,3.540210754227892,29.882508942714452,5.466489636202968
PAH-24,PAH+24,3.4286063108723157,28.179713430312592,5.30845678425591
PAH-12,quarter,1.7717764493352988,10.843106119318096,3.292887201122762
PAH-12,half,1.0858457601909124,4.70533251666169,2.1691778434839524
PAH-12,PAH+1,2.447570179249968,17.387626927816562,4.16984735066124
PAH-12,PAH+2,2.902889501168052,22.265930824703833,4.718678927910208
PAH-12,PAH+3,3.1716390330553788,24.56971221285361,4.956784463021729
PAH-12,PAH+4,3.1973950209766757,26.123888543952003,5.111153347724171
PAH-12,PAH+6,3.3880540914909547,27.732743892776153,5.266188744507374
PAH-12,PAH+12,3.477149977535237,28.351015217266614,5.324567138957552
PAH-12,PAH+24,3.5718490101469924,29.380341792671718,5.420363621812813
PAH-6,quarter,1.7644340207403164,10.43129010020874,3.229750779891343
PAH-6,half,1.135946007302305,5.127025025798167,2.264293493741076
PAH-6,PAH+1,2.431043297747923,17.430006690340438,4.174925950282285
PAH-6,PAH+2,2.8848295062268496,20.743214983758957,4.554471976394075
PAH-6,PAH+3,3.160127338468898,24.78276299105717,4.9782289010306835
PAH-6,PAH+4,3.3051501030942587,27.815396089408626,5.274030345893795
PAH-6,PAH+6,3.4011674466104345,27.08571278184075,5.20439360366227
PAH-6,PAH+12,3.5244945903014555,29.587023682441323,5.439395525464326
PAH-6,PAH+24,3.5858563060812965,30.52620231781277,5.525052245708883
PAH-3,quarter,1.6850132713279147,9.233234708399994,3.0386238181782215
PAH-3,half,1.084727873756742,4.798183617410438,2.190475660081718
PAH-3,PAH+1,2.4422598278191643,17.759262040469988,4.214173945208003
PAH-3,PAH+2,2.8545641091164873,21.100708945186906,4.593550799238744
PAH-3,PAH+3,3.205575654402737,25.026622986289706,5.002661590222719
PAH-3,PAH+4,3.3039197973993923,27.910831310075896,5.283070254130253
PAH-3,PAH+6,3.4440926059033727,28.165801780052046,5.307146293447359
PAH-3,PAH+12,3.5688911257955716,29.903190388217503,5.468380965900008
PAH-3,PAH+24,3.543141260995159,29.239346994786164,5.407341952825451
PAH-1,quarter,1.7109270419322378,9.858739126071928,3.139862915171923
PAH-1,half,1.0468258351762108,4.509315780122499,2.123514958770599
PAH-1,PAH+1,2.4047408009537747,16.85226750815047,4.105151338032554
PAH-1,PAH+2,2.906847510705538,22.924553008908646,4.787959169511437
PAH-1,PAH+3,3.2092871319144574,25.491079010131806,5.048869082292767
PAH-1,PAH+4,3.3227475184237623,27.420664401992244,5.236474424838934
PAH-1,PAH+6,3.3655256466192798,27.46814007836128,5.241005636169578
PAH-1,PAH+12,3.661322077084625,30.18493956145791,5.494082231042588
PAH-1,PAH+24,3.7847305268498355,32.60804606203447,5.710345529128204
