MovingAverage,HistoricWindow,PredictionWindow,MAE,MSE,RMSE
MPAH-24,PAH-24,quarter,0.7998856701112719,2.0035829088856913,1.4154797451343808
MPAH-24,PAH-24,half,1.4203175294586385,7.13272483499664,2.670716165188027
MPAH-24,PAH-24,PAH+1,2.3391117373263923,15.809671375869765,3.9761377460885035
MPAH-24,PAH-24,PAH+2,2.929595769227519,21.680477943415912,4.6562300140151915
MPAH-24,PAH-24,PAH+3,3.2377884587458943,25.421930417445253,5.042016503091323
MPAH-24,PAH-24,PAH+4,3.3084278914465286,27.11069409362194,5.2067930719034665
MPAH-24,PAH-24,PAH+6,3.299515232900925,27.68239638127319,5.261406312125418
MPAH-24,PAH-24,PAH+12,3.7414690720467023,33.75104304648368,5.809564789765553
MPAH-24,PAH-24,PAH+24,3.5701771225687446,28.685495008204096,5.355884148131296
MPAH-24,PAH-12,quarter,0.7792449704066564,1.9214524737417351,1.3861646632856195
MPAH-24,PAH-12,half,1.416946501318965,6.951284953422609,2.636528959336993
MPAH-24,PAH-12,PAH+1,2.441726935631418,17.880681997303864,4.228555545018164
MPAH-24,PAH-12,PAH+2,2.8637508296981236,21.600063564906897,4.647586853939031
MPAH-24,PAH-12,PAH+3,3.2256807041389264,26.20673083133057,5.119251002962305
MPAH-24,PAH-12,PAH+4,3.251404184949935,25.989213082074237,5.097961659533567
MPAH-24,PAH-12,PAH+6,3.4199503886004408,29.127352044904775,5.39697619458385
MPAH-24,PAH-12,PAH+12,3.4714791306333983,29.398976910317586,5.422082340790998
MPAH-24,PAH-12,PAH+24,3.5763980582095556,30.02212605936226,5.479245026403023
MPAH-24,PAH-6,quarter,0.8033044295829332,1.9380574277362383,1.392141310261368
MPAH-24,PAH-6,half,1.4175791328579275,6.902391918016223,2.627240361675388
MPAH-24,PAH-6,PAH+1,2.4043911416803776,17.983655360896698,4.240714015457385
MPAH-24,PAH-6,PAH+2,2.957490969555447,23.05393051480812,4.801450876017386
MPAH-24,PAH-6,PAH+3,3.288489242343446,27.20458812041705,5.215801771579998
MPAH-24,PAH-6,PAH+4,3.278842888080647,26.939846033206155,5.190360876972444
MPAH-24,PAH-6,PAH+6,3.330611229463006,27.949338309568017,5.286713375015522
MPAH-24,PAH-6,PAH+12,3.5964854121728016,31.132039411137765,5.579609252549659
MPAH-24,PAH-6,PAH+24,3.6285763474087513,30.919731192587687,5.560551338904055
MPAH-24,PAH-3,quarter,0.7897314869566436,1.8382509518008945,1.3558211356225771
MPAH-24,PAH-3,half,1.4016642826875814,6.513376722260568,2.5521317995473054
MPAH-24,PAH-3,PAH+1,2.301147018779459,16.502791522746783,4.06236280048284
MPAH-24,PAH-3,PAH+2,2.721844633612029,19.908950448571233,4.461944693580506
MPAH-24,PAH-3,PAH+3,3.0948909886724585,23.83110355546082,4.881711129866332
MPAH-24,PAH-3,PAH+4,3.3955488116488532,29.36023805186774,5.418508840250031
MPAH-24,PAH-3,PAH+6,3.3716286974398906,28.79756635352667,5.366336399586469
MPAH-24,PAH-3,PAH+12,3.693159079238482,31.674077619669244,5.627972780643955
MPAH-24,PAH-3,PAH+24,3.6813692673674008,30.76868485961758,5.546952754406475
MPAH-24,PAH-1,quarter,0.7356556040571081,1.5838335432030939,1.2585044867631954
MPAH-24,PAH-1,half,1.298986843611091,5.9172831797639995,2.432546644930781
MPAH-24,PAH-1,PAH+1,2.2225203963665,15.907446224079305,3.988413998581304
MPAH-24,PAH-1,PAH+2,2.8131909667795365,20.49561230624786,4.527208003421961
MPAH-24,PAH-1,PAH+3,3.3130896672065306,27.612807231741144,5.254788980705233
MPAH-24,PAH-1,PAH+4,3.2564383275476403,27.693483169291817,5.262459802154485
MPAH-24,PAH-1,PAH+6,3.3969217364938693,27.407221145133413,5.235190650313837
MPAH-24,PAH-1,PAH+12,3.6297130881714526,31.508511443093592,5.613244288563753
MPAH-24,PAH-1,PAH+24,3.6635679708757327,30.580922267726415,5.5300020133564525
MPAH-12,PAH-24,quarter,0.7938610881579596,1.961855171791932,1.4006624046471483
MPAH-12,PAH-24,half,1.4124799044622225,6.734447948221932,2.595081491634113
MPAH-12,PAH-24,PAH+1,2.3181576223655433,16.390659845637796,4.048537988661808
MPAH-12,PAH-24,PAH+2,2.8300263807327384,21.600123737414112,4.647593327456062
MPAH-12,PAH-24,PAH+3,3.1063399241599856,25.16427787876495,5.016400888960625
MPAH-12,PAH-24,PAH+4,3.37710497679224,29.288219976178098,5.411859197741392
MPAH-12,PAH-24,PAH+6,3.3890400291833003,28.859882725130564,5.372139492337347
MPAH-12,PAH-24,PAH+12,3.4788788150127474,29.13450177408438,5.397638536812592
MPAH-12,PAH-24,PAH+24,3.6395350038687497,30.6506134115209,5.536299613597597
MPAH-12,PAH-12,quarter,0.7885149891666494,1.9105520623359957,1.3822272108217215
MPAH-12,PAH-12,half,1.3503578066989799,6.541012882346455,2.5575403970116395
MPAH-12,PAH-12,PAH+1,2.3307650772568707,17.27930412540405,4.156838236617351
MPAH-12,PAH-12,PAH+2,2.9385969915038066,22.35977471558832,4.7286123456663605
MPAH-12,PAH-12,PAH+3,3.300652636958808,27.245768306912716,5.219747916031263
MPAH-12,PAH-12,PAH+4,3.259793288726639,26.308820123694055,5.129212427234229
MPAH-12,PAH-12,PAH+6,3.515986686843929,29.38305665424235,5.420614047711048
MPAH-12,PAH-12,PAH+12,3.7217540407007594,32.119765555045916,5.667430242627245
MPAH-12,PAH-12,PAH+24,3.6993459103033706,31.980175028242744,5.655101681512256
MPAH-12,PAH-6,quarter,0.7873417189251161,1.9475376657300427,1.395542068778309
MPAH-12,PAH-6,half,1.400123750358421,6.883399104058464,2.623623277846586
MPAH-12,PAH-6,PAH+1,2.2329947908328016,16.399466797859766,4.049625513286354
MPAH-12,PAH-6,PAH+2,3.0254296052566234,25.099232531314225,5.009913425530847
MPAH-12,PAH-6,PAH+3,3.141520154410282,25.133722777246994,5.013354443608291
MPAH-12,PAH-6,PAH+4,3.2433678181312273,26.748422067658453,5.171887669667473
MPAH-12,PAH-6,PAH+6,3.3856578112955367,27.654259096279546,5.258731700351288
MPAH-12,PAH-6,PAH+12,3.613639743631634,31.37295666885194,5.601156725967587
MPAH-12,PAH-6,PAH+24,3.6307769007031117,31.28709891428133,5.593487187281413
MPAH-12,PAH-3,quarter,0.7793828870995615,1.8720581910093497,1.3682317753251274
MPAH-12,PAH-3,half,1.40597970454981,6.830326472390387,2.6134893289222334
MPAH-12,PAH-3,PAH+1,2.275551730734732,16.028994660387536,4.003622692061221
MPAH-12,PAH-3,PAH+2,2.8130450178824606,21.47610570692892,4.634231943583416
MPAH-12,PAH-3,PAH+3,3.206857818333086,25.99204136829045,5.098239045816746
MPAH-12,PAH-3,PAH+4,3.191163957054106,26.44844862847537,5.142805521160154
MPAH-12,PAH-3,PAH+6,3.374428559259401,28.509232800760742,5.339403787012249
MPAH-12,PAH-3,PAH+12,3.8636484888555724,34.790782344274035,5.898371160267386
MPAH-12,PAH-3,PAH+24,3.735008300591293,31.433865456072002,5.606591251025172
MPAH-12,PAH-1,quarter,0.7770609433280229,1.6743635401846164,1.2939720013140223
MPAH-12,PAH-1,half,1.3682059043245156,6.218759531776098,2.4937440790458227
MPAH-12,PAH-1,PAH+1,2.3068498453751647,16.05866693012632,4.007326656279261
MPAH-12,PAH-1,PAH+2,2.897847854493875,22.241852963534384,4.716126902823373
MPAH-12,PAH-1,PAH+3,3.042081221236334,24.211689568762257,4.920537528437544
MPAH-12,PAH-1,PAH+4,3.232602555537947,26.635369576725395,5.160946577588785
MPAH-12,PAH-1,PAH+6,3.360736462849373,28.314699254725745,5.321155819436765
MPAH-12,PAH-1,PAH+12,3.5468826536161595,30.442824223451215,5.517501628767428
MPAH-12,PAH-1,PAH+24,3.6142815301863283,31.29101453835094,5.593837192692592
MPAH-6,PAH-24,quarter,0.7787309772596125,1.8662569940132274,1.3661101690614954
MPAH-6,PAH-24,half,1.4228949552854184,6.704010117233182,2.589210326959396
MPAH-6,PAH-24,PAH+1,2.388233077115933,16.907905329222668,4.111922339882244
MPAH-6,PAH-24,PAH+2,2.8448180182880947,22.26798541873711,4.718896631495238
MPAH-6,PAH-24,PAH+3,3.2327157914451723,26.602757652379793,5.1577861192937995
MPAH-6,PAH-24,PAH+4,3.292489363682021,28.07190875088551,5.298293003495136
MPAH-6,PAH-24,PAH+6,3.4692959369978915,29.044673777589743,5.389311067065042
MPAH-6,PAH-24,PAH+12,3.508712121633517,28.81419863065453,5.367885862297608
MPAH-6,PAH-24,PAH+24,3.640093163016452,30.92485528821591,5.561012074093699
MPAH-6,PAH-12,quarter,0.7742879058531544,1.8473658428878614,1.3591783705194331
MPAH-6,PAH-12,half,1.424755111605971,6.913935381768867,2.629436323961633
MPAH-6,PAH-12,PAH+1,2.4055453460840504,17.480976006328678,4.181025712230036
