timestamp,year,month,day,hour,minute,A UNIX,Celsius,precipIntensity,precipProbability,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,PAH-24,PAH
13/12/2018 17:30,2018,12,13,17,30,1544722200,3.255555556,0.0013,0.07,27.88,31.94,0.79,1028.1,19.19,19.83,81,1,0,10,320.4,8.8,8
13/12/2018 18:00,2018,12,13,18,0,1544724000,3.277777778,0.0014,0.06,28.08,32.26,0.8,1028.3,18.64,19.06,81,0.98,0,10,318.9,8.8,7.9
13/12/2018 18:30,2018,12,13,18,30,1544725800,3.277777778,0.0014,0.06,28.08,32.26,0.8,1028.3,18.64,19.06,81,0.98,0,10,318.9,8.8,8
13/12/2018 19:00,2018,12,13,19,0,1544727600,3.277777778,0.0014,0.06,28.08,32.26,0.8,1028.3,18.64,19.06,81,0.98,0,10,318.9,8.8,7.4
13/12/2018 19:30,2018,12,13,19,30,1544729400,3.277777778,0.0014,0.06,28.08,32.26,0.8,1028.3,18.64,19.06,81,0.98,0,10,318.9,8.8,7.5
13/12/2018 20:00,2018,12,13,20,0,1544731200,2.872222222,0.0022,0.05,26.92,31.99,0.81,1028.3,19.4,19.73,79,0.93,0,10,321.4,8.8,8.2
13/12/2018 20:30,2018,12,13,20,30,1544733000,2.872222222,0.0022,0.05,26.92,31.99,0.81,1028.3,19.4,19.73,79,0.93,0,10,321.4,8.8,8.1
13/12/2018 21:00,2018,12,13,21,0,1544734800,2.6,0.0024,0.05,26.27,31.84,0.82,1028.4,19.42,20.08,78,0.88,0,10,322.5,8.8,8.3
13/12/2018 21:30,2018,12,13,21,30,1544736600,2.6,0.0024,0.05,26.27,31.84,0.82,1028.4,19.42,20.08,78,0.88,0,10,322.5,8.8,8.3
13/12/2018 22:00,2018,12,13,22,0,1544738400,2.6,0.0024,0.05,26.27,31.84,0.82,1028.4,19.42,20.08,78,0.88,0,10,322.5,8.8,8
13/12/2018 22:30,2018,12,13,22,30,1544740200,2.6,0.0024,0.05,26.27,31.84,0.82,1028.4,19.42,20.08,78,0.88,0,10,322.5,8.8,8.2
13/12/2018 23:00,2018,12,13,23,0,1544742000,2.116666667,0.0016,0.04,25.41,31.17,0.83,1028.6,18.43,19.47,78,0.68,0,10,323,8.8,8.2
13/12/2018 23:30,2018,12,13,23,30,1544743800,2.116666667,0.0016,0.04,25.41,31.17,0.83,1028.6,18.43,19.47,78,0.68,0,10,323,8.8,7.7
14/12/2018 00:00,2018,12,14,0,0,1544745600,2.255555556,0.0014,0.03,26.3,32.48,0.87,1028.5,16.51,17.69,75,0.57,0,10,327.7,8.8,7.6
14/12/2018 00:30,2018,12,14,0,30,1544747400,2.255555556,0.0014,0.03,26.3,32.48,0.87,1028.5,16.51,17.69,75,0.57,0,10,327.7,8.8,7.8
14/12/2018 01:00,2018,12,14,1,0,1544749200,2.255555556,0.0014,0.03,26.3,32.48,0.87,1028.5,16.51,17.69,75,0.57,0,10,327.7,8.8,8
14/12/2018 01:30,2018,12,14,1,30,1544751000,2.255555556,0.0014,0.03,26.3,32.48,0.87,1028.5,16.51,17.69,75,0.57,0,10,327.7,8.8,8.2
14/12/2018 02:00,2018,12,14,2,0,1544752800,2.327777778,0.0012,0.05,26.3,32.82,0.87,1028.1,17.08,18.13,79,0.32,0,10,329.9,8.8,7.9
14/12/2018 02:30,2018,12,14,2,30,1544754600,2.327777778,0.0012,0.05,26.3,32.82,0.87,1028.1,17.08,18.13,79,0.32,0,10,329.9,8.8,8
14/12/2018 03:00,2018,12,14,3,0,1544756400,2.333333333,0.0012,0.05,26.17,33.09,0.88,1028,17.58,18.76,82,0.26,0,10,330.8,8.8,8.2
14/12/2018 03:30,2018,12,14,3,30,1544758200,2.333333333,0.0012,0.05,26.17,33.09,0.88,1028,17.58,18.76,82,0.26,0,10,330.8,8.8,7.9
14/12/2018 04:00,2018,12,14,4,0,1544760000,2.333333333,0.0012,0.05,26.17,33.09,0.88,1028,17.58,18.76,82,0.26,0,10,330.8,8.8,7.8
14/12/2018 04:30,2018,12,14,4,30,1544761800,2.333333333,0.0012,0.05,26.17,33.09,0.88,1028,17.58,18.76,82,0.26,0,10,330.8,8.8,8
14/12/2018 05:30,2018,12,14,5,30,1544765400,2.433333333,0.0015,0.1,25.89,33.92,0.91,1028,19.38,20.84,89,0.43,0,10,332.3,8.8,7.8
14/12/2018 06:00,2018,12,14,6,0,1544767200,2.533333333,0.0018,0.12,25.99,34.45,0.92,1028.1,19.89,22.15,90,0.56,0,10,331.6,8.8,11.8
14/12/2018 06:30,2018,12,14,6,30,1544769000,2.533333333,0.0018,0.12,25.99,34.45,0.92,1028.1,19.89,22.15,90,0.56,0,10,331.6,8.8,7.8
14/12/2018 07:00,2018,12,14,7,0,1544770800,2.533333333,0.0018,0.12,25.99,34.45,0.92,1028.1,19.89,22.15,90,0.56,0,10,331.6,8.8,7.8
14/12/2018 07:30,2018,12,14,7,30,1544772600,2.533333333,0.0018,0.12,25.99,34.45,0.92,1028.1,19.89,22.15,90,0.56,0,10,331.6,8.8,8
