HistoricWindow,PredictionWindow,MAE,MSE,RMSE
PAH-24,quarter,1.9557548209356326,12.77362052030104,3.574020218227793
PAH-24,half,1.3731216889168787,6.857421170509934,2.6186678236290173
PAH-24,PAH+1,2.764979709683598,23.255837208256875,4.822430632809234
PAH-24,PAH+2,3.404232772278894,32.744093899896164,5.722245529501174
PAH-24,PAH+3,3.7703519311264144,39.74731369658682,6.3045470651417
PAH-24,PAH+4,3.86542726379164,43.390829391333014,6.587171577493106
PAH-24,PAH+6,4.093301100707724,48.35545004823534,6.953808312589249
PAH-24,PAH+12,4.185117924073999,45.46784641118392,6.742984977825764
PAH-24,PAH+24,3.6206954030912906,34.15725064523825,5.8444204712903955
PAH-12,quarter,1.9307603305782264,12.435170626540058,3.5263537296391663
PAH-12,half,1.3816198876887156,6.784321835828845,2.6046730765738806
PAH-12,PAH+1,2.6656434625984744,22.083772588333627,4.699337462699782
PAH-12,PAH+2,3.1749263400740624,28.403595873270767,5.3295024039089025
PAH-12,PAH+3,3.4907156167085187,32.83195725940313,5.729917735832089
PAH-12,PAH+4,3.539466986465735,35.12618825371631,5.926735041632645
PAH-12,PAH+6,3.678126576121201,36.58080218658558,6.048206526449438
PAH-12,PAH+12,3.656625322758074,35.75157811534847,5.979262338729458
PAH-12,PAH+24,3.7289849268192308,35.02376195503029,5.918087694097671
PAH-6,quarter,1.8643272939177367,11.541370465842876,3.3972592579670566
PAH-6,half,1.3268528819683725,6.606352757920038,2.570282622187692
PAH-6,PAH+1,2.6592933884302603,22.068268565200196,4.697687576372038
PAH-6,PAH+2,3.210696915458455,29.065304765532105,5.391224792710104
PAH-6,PAH+3,3.5431730376526382,34.34169853131571,5.860179052837525
PAH-6,PAH+4,3.682108103451526,38.1521823534162,6.176745288047436
PAH-6,PAH+6,3.877615491445264,40.8632396177371,6.392436125432705
PAH-6,PAH+12,3.9342310568588053,39.709064381634775,6.301512864513947
PAH-6,PAH+24,3.7395120297837257,36.54554681504393,6.045291292819886
PAH-3,quarter,1.834751112522759,11.04489652955808,3.3233863045932655
PAH-3,half,1.3018793706299427,6.081050044390845,2.465978516611782
PAH-3,PAH+1,2.6139375397333753,21.251461097610726,4.6099307042092
PAH-3,PAH+2,3.066717061978957,27.628804681436954,5.256310938427916
PAH-3,PAH+3,3.5007941098975843,34.1550459922175,5.8442318564733124
PAH-3,PAH+4,3.706892106313891,39.718300872761354,6.302245700761067
PAH-3,PAH+6,3.979599989068754,43.31777349605186,6.581623925449696
PAH-3,PAH+12,4.067943797398474,42.0759697953985,6.4865992473250955
PAH-3,PAH+24,3.825188539406421,37.4811066559806,6.122181527526001
PAH-1,quarter,1.7856594617489512,11.08399513752385,3.329263452705996
PAH-1,half,1.2407653104481247,5.719461686607642,2.391539605904038
PAH-1,PAH+1,2.511534064420661,20.42574557842894,4.5194851010296455
PAH-1,PAH+2,3.1185420917467583,28.17102569011801,5.307638428728732
PAH-1,PAH+3,3.538125863011157,34.961086907388975,5.912790111900555
PAH-1,PAH+4,3.710516222111793,40.0668087612624,6.329834813110244
PAH-1,PAH+6,4.053700698392372,45.984312193383474,6.781173364056067
PAH-1,PAH+12,4.151544946446471,45.49102249387557,6.744703291759807
PAH-1,PAH+24,3.7959383089993644,37.7038107780913,6.140342887664442
