HistoricWindow,PredictionWindow,MAE,MSE,RMSE
PAH-24,quarter,0.7813400455510758,1.8670665780806794,1.3664064468819954
PAH-24,half,1.3808916216079805,6.378765948784789,2.52562189347194
PAH-24,PAH+1,2.1711956725486297,14.145871719576704,3.761099801863373
PAH-24,PAH+2,2.7226759006537726,18.261845853624088,4.273388100047091
PAH-24,PAH+3,2.92243070577883,19.8294464273795,4.453026659181314
PAH-24,PAH+4,3.0541170921066083,22.088657685021584,4.699857198364817
PAH-24,PAH+6,3.0559797561003337,21.613061289501996,4.648984974110155
PAH-24,PAH+12,3.2821138684537896,24.895796778316544,4.9895687968317
PAH-24,PAH+24,3.1109870758754794,21.067319425217033,4.589914969279609
PAH-12,quarter,0.7779463698668883,1.8362846536241448,1.355095809758168
PAH-12,half,1.3601765895751416,6.405466191304393,2.5309022484687933
PAH-12,PAH+1,2.2073517915261203,14.203248449893927,3.768719736182823
PAH-12,PAH+2,2.793924729653455,19.09218400884594,4.36946037959448
PAH-12,PAH+3,3.04324143826556,21.079555576299903,4.59124771454339
PAH-12,PAH+4,2.951553065946255,19.887980106149357,4.459594163839279
PAH-12,PAH+6,3.119263389895963,22.69724060833292,4.764162109787294
PAH-12,PAH+12,3.1672310320083206,24.2803196596145,4.927506434253993
PAH-12,PAH+24,3.1630892993703155,21.058691258156305,4.588974968133549
PAH-6,quarter,0.7883603108452231,1.8722757743892662,1.3683112856325004
PAH-6,half,1.3640849049865535,6.311361443280537,2.5122423138066394
PAH-6,PAH+1,2.1844659496227283,14.413457071381103,3.796505902982518
PAH-6,PAH+2,2.738684915433096,18.518682010972302,4.303333825183947
PAH-6,PAH+3,3.0659361417116338,21.26176670732364,4.6110483306211005
PAH-6,PAH+4,3.0490722887651125,21.38022809289852,4.623875873431133
PAH-6,PAH+6,3.1173683750096397,21.73332172183692,4.661901084518731
PAH-6,PAH+12,3.151689550690548,23.61751848646086,4.859785847798323
PAH-6,PAH+24,3.257643706800858,22.985454874460476,4.794314849325238
PAH-3,quarter,0.7695883753304157,1.8081648304635813,1.3446801963528656
PAH-3,half,1.3442480627274207,6.28765285716998,2.5075192635690717
PAH-3,PAH+1,2.1727815849552603,14.007183252603015,3.742617166182378
PAH-3,PAH+2,2.6531714281962553,17.65259929104504,4.201499647869204
PAH-3,PAH+3,2.9627643403678317,20.184326699765627,4.492697040727944
PAH-3,PAH+4,3.1260065765231473,22.770242164486167,4.771817490693265
PAH-3,PAH+6,3.1168788772854583,21.980779178480994,4.688366365641767
PAH-3,PAH+12,3.1879566142194853,23.676597015743575,4.865860357197232
PAH-3,PAH+24,3.1963902983711594,21.83494837054441,4.672788072504938
PAH-1,quarter,0.7379667402918012,1.5762348074475718,1.2554819024771213
PAH-1,half,1.3433221368490795,5.911930078975179,2.431446088025638
PAH-1,PAH+1,2.1605962400364076,13.89982953570718,3.7282475153491594
PAH-1,PAH+2,2.788393991624459,19.658697728067693,4.433813001026057
PAH-1,PAH+3,2.8759009959537623,19.512006320752995,4.417239672097609
PAH-1,PAH+4,3.058853126689213,22.659825128627958,4.760233726260504
PAH-1,PAH+6,3.1093970482011164,22.200021497887562,4.711689877091612
PAH-1,PAH+12,3.318341851074087,25.351090662068316,5.034986659572031
PAH-1,PAH+24,3.236304694175298,23.245286376442973,4.821336575727002
