HistoricWindow,PredictionWindow,MAE,MSE,RMSE
PAH-24,quarter,0.7791884632141227,1.8746159920656276,1.3691661667108297
PAH-24,half,1.3657420144086514,6.3465962944496095,2.5192451834725436
PAH-24,PAH+1,2.1877687143889095,14.618385110307708,3.823399679644767
PAH-24,PAH+2,2.737049260319427,19.63670775610185,4.431332503446548
PAH-24,PAH+3,2.9727693801459063,21.579702482795827,4.645395837040782
PAH-24,PAH+4,3.102454168835538,23.442118299058578,4.8417061351406465
PAH-24,PAH+6,3.2310563918970274,24.621752094483835,4.962031045296254
PAH-24,PAH+12,3.5130502262450904,27.33936501211191,5.2287058639889
PAH-24,PAH+24,3.3707117175330557,26.026870931926485,5.101653744809274
PAH-12,quarter,0.7775127671553874,1.845061664503834,1.3583304695484946
PAH-12,half,1.3542214085281452,6.3206579117259665,2.514091866206557
PAH-12,PAH+1,2.151150294948254,14.695701903035344,3.833497346162554
PAH-12,PAH+2,2.734630245352582,19.87351337341468,4.457971890155284
PAH-12,PAH+3,2.983480674510214,21.61097834694092,4.648760947493527
PAH-12,PAH+4,3.169686289272956,25.421612811849705,5.041985007102828
PAH-12,PAH+6,3.5699432371389914,27.753570229365675,5.268165736702451
PAH-12,PAH+12,3.2156668259094503,25.20025641549477,5.0199856987340885
PAH-12,PAH+24,3.5373796468521057,27.327893991012246,5.227608821537075
PAH-6,quarter,0.8126778192050574,1.8694269523180311,1.3672698900795084
PAH-6,half,1.3330860750023126,6.285918834780459,2.507173475206783
PAH-6,PAH+1,2.2410155379490293,14.9563848826156,3.8673485597519655
PAH-6,PAH+2,2.720677398230473,19.559358509969197,4.422596353949702
PAH-6,PAH+3,2.993203420239462,22.46521192841253,4.739748087020293
PAH-6,PAH+4,3.1796096053676406,24.659185021328085,4.965801548725853
PAH-6,PAH+6,3.287847276081028,26.296469844801887,5.128008370196161
PAH-6,PAH+12,3.380117423159948,26.319722402882395,5.130275080625053
PAH-6,PAH+24,3.4138723827308657,26.115240891577685,5.1103073187018495
PAH-3,quarter,0.7692459842953443,1.8550926872700049,1.3620178733298638
PAH-3,half,1.3759570218543855,6.432513583614292,2.536240048499805
PAH-3,PAH+1,2.1743894035161415,14.74866454669913,3.840399008787906
PAH-3,PAH+2,2.693829525342884,19.003318470378108,4.359279581579749
PAH-3,PAH+3,3.0091494748347944,22.890846504771652,4.784437950770357
PAH-3,PAH+4,3.0511016123807555,24.167612759254038,4.916056626937289
PAH-3,PAH+6,3.2072156529578013,25.255290411295377,5.025464198588562
PAH-3,PAH+12,3.6089673833995515,29.735701529883052,5.453045161181324
PAH-3,PAH+24,3.403176806033991,27.081375887950212,5.203976929997885
PAH-1,quarter,0.7312483288041116,1.616353880994055,1.2713590684751712
PAH-1,half,1.337047831723181,5.87519758925119,2.423880687915804
PAH-1,PAH+1,2.15582914166603,14.473064801681025,3.8043481441215423
PAH-1,PAH+2,2.677938875217747,19.639319011026487,4.431627129060667
PAH-1,PAH+3,2.9516383996956406,22.14146970714841,4.705472314991175
PAH-1,PAH+4,3.1481636516784675,24.5539422763242,4.955193465075223
PAH-1,PAH+6,3.300582321161113,25.61003620590635,5.060635948762403
PAH-1,PAH+12,3.3623625638010224,26.55024672475772,5.152693152590955
PAH-1,PAH+24,3.522183567192421,27.853794392562847,5.2776694091770135
