MovingAverage,HistoricWindow,PredictionWindow,MAE,MSE,RMSE
MPAH-6,PAH-24,PAH+1,3.0230260248347354,21.00017714242546,4.582595022738259
MPAH-6,PAH-24,PAH+2,3.037238738367636,21.862270952834717,4.675710743067274
MPAH-6,PAH-24,PAH+3,3.008696433865903,20.85073911969999,4.566260956154388
MPAH-6,PAH-24,PAH+4,3.0285882520460676,21.206312725447106,4.605031240442035
MPAH-6,PAH-24,PAH+6,2.9736424771997183,20.57747357270975,4.536240025914607
MPAH-6,PAH-24,PAH+12,3.203060722170787,23.46512921520495,4.844081875361414
MPAH-6,PAH-24,PAH+24,2.99462372326989,19.660205328993985,4.4339830095517945
MPAH-6,PAH-12,PAH+1,2.9338152262578245,20.158194502719308,4.489787801524623
MPAH-6,PAH-12,PAH+2,2.860651504885358,18.42996031454135,4.293012964636999
MPAH-6,PAH-12,PAH+3,2.900601743391384,18.905761894957806,4.348075654235768
MPAH-6,PAH-12,PAH+4,2.8376810145876705,18.559809190710922,4.308109700403522
MPAH-6,PAH-12,PAH+6,3.369593536790591,24.84673020170066,4.984649456250726
MPAH-6,PAH-12,PAH+12,2.928985241654832,19.504530389285225,4.416393368947701
MPAH-6,PAH-12,PAH+24,3.1411832752664233,21.347996109203653,4.62038917291646
MPAH-6,PAH-6,PAH+1,2.8499184133694375,20.090698434368857,4.482264877756429
MPAH-6,PAH-6,PAH+2,2.784234376668576,18.313467527525535,4.279423737785911
MPAH-6,PAH-6,PAH+3,2.9856139987855688,21.34530210947715,4.6200976298642376
MPAH-6,PAH-6,PAH+4,2.798900981375348,18.462592883923065,4.296811944212019
MPAH-6,PAH-6,PAH+6,2.937813679045981,19.856792670754587,4.4560961244967086
MPAH-6,PAH-6,PAH+12,3.1254362625615157,21.836907625070015,4.672997712932247
MPAH-6,PAH-6,PAH+24,3.0276523599313916,18.839364254711526,4.340433648232803
MPAH-6,PAH-3,PAH+1,3.024500520442824,22.6094034596021,4.75493464304212
MPAH-6,PAH-3,PAH+2,2.8221127556304872,18.98951066941669,4.357695568694156
MPAH-6,PAH-3,PAH+3,2.9533186227920996,20.78119243586106,4.55863931846566
MPAH-6,PAH-3,PAH+4,2.746604220715184,17.931077492639727,4.234510301397285
MPAH-6,PAH-3,PAH+6,3.177006776335685,21.387073745126298,4.62461606461837
MPAH-6,PAH-3,PAH+12,3.097937678843382,22.084348201178475,4.699398706343023
MPAH-6,PAH-3,PAH+24,3.0548307426375856,20.342885523757822,4.5103088058089575
MPAH-6,PAH-1,PAH+1,2.9716845246377073,23.19818134987266,4.816449039476351
MPAH-6,PAH-1,PAH+2,2.77097963860017,18.647134112601055,4.31823275340747
MPAH-6,PAH-1,PAH+3,2.9293885200334016,20.303209143754657,4.505908248483834
MPAH-6,PAH-1,PAH+4,2.936334966013068,20.168606595140822,4.490947182403821
MPAH-6,PAH-1,PAH+6,2.9917337749180963,20.409887725364072,4.517730373247619
MPAH-6,PAH-1,PAH+12,2.953900701320676,20.80762901025856,4.561538009296706
MPAH-6,PAH-1,PAH+24,2.997367860409047,19.823470686939867,4.452355633475371
MPAH-3,PAH-24,PAH+1,2.7658734144221313,18.94506929300937,4.35259339853947
MPAH-3,PAH-24,PAH+2,2.8859062289361352,19.303879601879956,4.393618053709261
MPAH-3,PAH-24,PAH+3,2.869088968182746,19.43567074234459,4.408590561885351
MPAH-3,PAH-24,PAH+4,2.9803230860633136,21.24333319096515,4.609049054953218
MPAH-3,PAH-24,PAH+6,2.948024793343186,20.774842503267816,4.5579427928910885
MPAH-3,PAH-24,PAH+12,3.1573009020824867,23.89889789609309,4.888649905249208
MPAH-3,PAH-24,PAH+24,3.0563203353588055,21.200788962106223,4.604431448301323
MPAH-3,PAH-12,PAH+1,2.6972233040401394,17.587883356642724,4.1937910482811045
MPAH-3,PAH-12,PAH+2,3.055678411119611,21.772944817000685,4.666148820708646
MPAH-3,PAH-12,PAH+3,2.8722469960529255,19.601714494008792,4.427382352362262
MPAH-3,PAH-12,PAH+4,2.933498746084908,21.57265774734997,4.644637525937839
MPAH-3,PAH-12,PAH+6,3.15766509711004,22.02228918141256,4.692791193033477
MPAH-3,PAH-12,PAH+12,2.9964219702330044,21.780183751564575,4.666924442452928
MPAH-3,PAH-12,PAH+24,3.1789444796188895,21.86555222438593,4.676061614690928
MPAH-3,PAH-6,PAH+1,2.8678513723611636,20.573439067221535,4.535795307024065
MPAH-3,PAH-6,PAH+2,2.8002330128172197,17.20541073592114,4.147940541512274
MPAH-3,PAH-6,PAH+3,2.819466122495362,18.93895115540301,4.351890526587613
MPAH-3,PAH-6,PAH+4,2.8979264310876722,20.178910982606954,4.492094275792412
MPAH-3,PAH-6,PAH+6,2.9828983099791326,20.402171857169545,4.51687633848543
MPAH-3,PAH-6,PAH+12,3.188809438301616,23.483404018498693,4.845967810303603
MPAH-3,PAH-6,PAH+24,3.224912886145488,22.20474190606618,4.7121907756441885
MPAH-3,PAH-3,PAH+1,2.9267979547023093,21.1059378085082,4.59411991664434
MPAH-3,PAH-3,PAH+2,3.0392549386035577,22.415415568961397,4.734492113095278
MPAH-3,PAH-3,PAH+3,2.826002926864297,19.14025860749124,4.374958126370039
MPAH-3,PAH-3,PAH+4,3.0434749050431686,22.32580405515853,4.725018947597833
MPAH-3,PAH-3,PAH+6,3.0337090899987595,21.404054076911244,4.626451564310519
MPAH-3,PAH-3,PAH+12,3.1006755226297558,21.791904727560134,4.668180023045398
MPAH-3,PAH-3,PAH+24,3.0385726147623906,19.628515677200856,4.430408071182705
MPAH-3,PAH-1,PAH+1,2.72727463833075,19.255372806260723,4.388094439077254
MPAH-3,PAH-1,PAH+2,2.886150260006593,18.963300005749247,4.3546871306385775
MPAH-3,PAH-1,PAH+3,2.8423187207316056,19.065989140407762,4.366461856057804
MPAH-3,PAH-1,PAH+4,2.9014434499294732,21.276511348573546,4.612646891815322
MPAH-3,PAH-1,PAH+6,2.940127258680649,20.58833951126308,4.537437549020711
MPAH-3,PAH-1,PAH+12,3.0614352521662522,22.701091476613627,4.7645662422316715
MPAH-3,PAH-1,PAH+24,3.1750046335436757,21.490927866604775,4.635830871225219
