HistoricWindow,PredictionWindow,MAE,MSE,RMSE
PAH-24,quarter,0.7853524467879863,1.9461000669100517,1.3950269054430642
PAH-24,half,1.445824788850783,7.163700635454972,2.6765090389264468
PAH-24,PAH+1,2.4866321071629782,19.029139493438507,4.362240192084625
PAH-24,PAH+2,3.5367691380573723,32.10206704507091,5.6658686046422675
PAH-24,PAH+3,4.173461407554629,42.36473611632629,6.5088198712459615
PAH-24,PAH+4,4.601180705037198,51.14143801624008,7.1513242141746085
PAH-24,PAH+6,4.964061667165924,58.71203141303781,7.662377660559274
PAH-24,PAH+12,5.144932029280484,59.82707137341473,7.734796142977185
PAH-24,PAH+24,4.020196056329915,37.05847041707298,6.087566871671553
PAH-12,quarter,0.784721911181678,1.9413309923279376,1.393316544195158
PAH-12,half,1.4509815836296118,7.16413013594338,2.676589272926158
PAH-12,PAH+1,2.502971893376626,19.00968002635816,4.360009177324993
PAH-12,PAH+2,3.579837701924746,31.492306036896466,5.611800605589659
PAH-12,PAH+3,4.197732990069756,40.93287351296421,6.397880392205234
PAH-12,PAH+4,4.621085680645407,48.954161361062944,6.996725045409669
PAH-12,PAH+6,4.867129331817116,54.28429705730991,7.36778779942188
PAH-12,PAH+12,4.027872572414184,39.246599168199374,6.264710621265708
PAH-12,PAH+24,4.135970786119943,39.55965329624636,6.289646516001226
PAH-6,quarter,0.7831055132724969,1.9461095400467354,1.3950303007629388
PAH-6,half,1.4478837740292705,7.203065075405167,2.6838526553082542
PAH-6,PAH+1,2.4848842008837893,19.139569162078086,4.374879331144813
PAH-6,PAH+2,3.5027841896955922,31.455837158568155,5.6085503615968495
PAH-6,PAH+3,4.097528615428801,40.236667453928625,6.343237931366647
PAH-6,PAH+4,4.491332864621972,47.08932289201432,6.862166049580432
PAH-6,PAH+6,4.800197165314488,53.03797707984937,7.282717698761182
PAH-6,PAH+12,4.960876917979449,55.68302732248705,7.462106091612947
PAH-6,PAH+24,4.091301352962563,38.39686930851563,6.196520742200064
PAH-3,quarter,0.780526887060416,1.920858007313175,1.3859502181944252
PAH-3,half,1.4487691898206372,7.208632431012635,2.6848896496900267
PAH-3,PAH+1,2.499628110155991,19.46195054749944,4.411570077364684
PAH-3,PAH+2,3.5368525742329173,32.553015751986294,5.705525019837026
PAH-3,PAH+3,4.187998538188614,43.19656409641739,6.572409306823289
PAH-3,PAH+4,4.604366448696843,51.63284100681385,7.185599557922348
PAH-3,PAH+6,4.873673409129636,56.7786144177647,7.535158552928047
PAH-3,PAH+12,5.081160781739007,59.541134403968165,7.716290196977312
PAH-3,PAH+24,4.095632076652189,38.93964424085524,6.240163799200726
PAH-1,quarter,0.7580969389573751,1.8199688137181673,1.3490621978686406
PAH-1,half,1.4190045801922595,7.041758513408737,2.6536311939319557
PAH-1,PAH+1,2.462756073591723,19.319349166007893,4.395378159613561
PAH-1,PAH+2,3.5198892150920456,32.43015641211894,5.694748142992712
PAH-1,PAH+3,4.200925060007706,43.537231591854614,6.598274895141503
PAH-1,PAH+4,4.6568732207756405,53.19315805424398,7.293363973794533
PAH-1,PAH+6,5.010652296513698,60.75395024787479,7.794482038459951
PAH-1,PAH+12,5.192910581671635,62.3039983209922,7.893288181803082
PAH-1,PAH+24,4.121954920688811,40.32757861715886,6.3503998785240965
