HistoricWindow,PredictionWindow,MAE,MSE,RMSE
PAH-24,PAH+1,2.7335856941154266,22.490532586041063,4.742418432196917
PAH-24,PAH+2,3.9315468286067636,38.01077582553554,6.165287975880408
PAH-24,PAH+3,4.490979556811974,48.09492553436434,6.9350505069800565
PAH-24,PAH+4,4.87053681518061,56.867027437483465,7.541022970226484
PAH-24,PAH+6,5.211267491224313,66.06607939081043,8.128104292564807
PAH-24,PAH+12,5.36403333491943,65.95067768543308,8.121002258676763
PAH-24,PAH+24,4.13845905398528,39.15602865129408,6.257477818681747
PAH-12,PAH+1,2.7551374294544035,22.338811499867774,4.72639519082649
PAH-12,PAH+2,3.9357558539596478,37.002789362938884,6.082991810198242
PAH-12,PAH+3,4.488314855698841,46.61903773284214,6.827813539694984
PAH-12,PAH+4,4.874789429276659,55.15743479285473,7.426805153823192
PAH-12,PAH+6,5.12101568573545,62.358803905776895,7.896759076087918
PAH-12,PAH+12,4.141957496964226,41.53571895076007,6.444821095326081
PAH-12,PAH+24,4.261685692519311,41.826318756240845,6.46732701788311
PAH-6,PAH+1,2.727676246635605,22.336058386841543,4.726103933140018
PAH-6,PAH+2,3.8312180992356955,36.13648263298645,6.01136279332619
PAH-6,PAH+3,4.379339038830201,44.991862327765716,6.70759735879888
PAH-6,PAH+4,4.727290432398808,51.87648172439358,7.202533007518507
PAH-6,PAH+6,5.0523542468225715,59.736454388829884,7.728936174456992
PAH-6,PAH+12,5.254271892939797,64.30933799136263,8.01931031893408
PAH-6,PAH+24,4.230037609450725,41.15417898693216,6.41515229647217
PAH-3,PAH+1,2.7376427931379332,22.64669930443707,4.758854831200156
PAH-3,PAH+2,3.8826402504807636,37.35620756469801,6.1119724774166
PAH-3,PAH+3,4.450459753882018,47.78191383654999,6.912446298999363
PAH-3,PAH+4,4.8176989530775645,56.22842274476502,7.498561378342183
PAH-3,PAH+6,5.08601547211744,62.56436044854988,7.909763615213155
PAH-3,PAH+12,5.3332529301079274,66.00065026864011,8.124078425805607
PAH-3,PAH+24,4.236369663981265,41.375197958292944,6.432355552850988
PAH-1,PAH+1,2.7282850216935266,22.862562618791642,4.781481215982307
PAH-1,PAH+2,3.9244814536371155,38.115690944209526,6.173790646289322
PAH-1,PAH+3,4.518039848095268,48.97816596476162,6.998440252282048
PAH-1,PAH+4,4.902590101796872,58.342694524909305,7.638238967517926
PAH-1,PAH+6,5.266346218236331,67.39913013163613,8.20969732277848
PAH-1,PAH+12,5.427822326110904,68.71578642337884,8.289498562843162
PAH-1,PAH+24,4.26947502209247,42.72823595848722,6.53668386557643
