,PredictedPAH
0,1
1,1
2,1
3,1
4,1
5,7
6,1
7,1
8,1
9,7
10,1
11,1
12,1
13,5
14,1
15,4
16,1
17,4
18,1
19,4
20,1
21,3
22,0
23,3
24,4
25,5
26,8
27,1
28,1
29,1
30,1
31,1
32,3
33,4
34,1
35,13
36,6
37,11
38,5
39,6
40,5
41,11
42,11
43,5
44,5
45,11
46,5
47,11
48,5
49,5
50,5
51,6
52,11
53,6
54,6
55,6
56,6
57,10
58,10
59,10
60,6
61,10
62,10
63,10
64,10
65,10
66,10
67,7
68,10
69,10
70,7
71,7
72,5
73,4
74,3
75,2
76,4
77,16
78,9
79,13
80,11
81,16
82,5
83,13
84,14
85,16
86,5
87,5
88,4
89,5
90,5
91,4
92,2
93,26
94,5
95,3
96,6
97,2
98,2
99,21
100,2
101,2
102,21
103,3
104,19
105,4
106,3
107,2
108,2
109,8
110,6
111,2
112,5
113,3
114,3
115,2
116,5
117,3
118,3
119,6
120,5
121,5
122,8
123,15
124,7
125,9
126,8
127,8
128,9
129,9
130,9
131,10
132,9
133,9
134,9
135,9
136,8
137,8
138,9
139,8
140,8
141,8
142,8
143,8
144,8
145,7
146,7
147,7
148,7
149,7
150,7
151,6
152,6
153,6
154,6
155,7
156,6
157,6
158,6
159,7
160,7
161,6
162,7
163,7
164,7
165,4
166,7
167,7
168,7
169,6
170,7
171,7
172,4
173,4
174,9
175,2
176,14
177,16
178,7
179,7
180,6
181,7
182,5
183,5
184,4
185,26
186,5
187,6
188,6
189,26
190,5
191,21
192,2
193,2
194,21
195,21
196,19
197,7
198,21
199,10
200,19
201,8
202,6
203,11
204,5
205,8
206,6
207,2
208,5
209,3
210,6
211,6
212,5
213,4
214,6
215,6
216,7
217,8
218,8
219,8
220,7
221,9
222,9
223,8
224,9
225,9
226,9
227,9
228,9
229,9
230,9
231,9
232,8
233,8
234,9
235,8
236,8
237,8
238,8
239,8
240,7
241,7
242,7
243,7
244,7
245,7
246,7
247,7
248,7
249,7
250,7
251,7
252,7
253,7
254,7
255,7
256,7
257,7
258,7
259,7
260,7
261,7
262,7
263,7
264,7
265,8
266,7
267,7
268,7
269,6
270,7
271,7
272,7
273,9
274,7
275,6
276,6
277,9
278,7
279,7
280,6
281,14
282,7
283,14
284,11
285,10
286,7
287,16
288,4
289,2
290,3
291,16
292,6
293,6
294,6
295,4
296,3
297,14
298,13
299,11
300,3
301,8
302,6
303,3
304,3
305,4
306,6
307,6
308,5
309,4
310,6
311,6
312,7
313,8
314,8
315,6
316,7
317,14
318,8
319,8
320,14
321,9
322,15
323,9
324,14
325,9
326,9
327,9
328,8
329,8
330,8
331,8
332,8
333,8
334,8
335,8
336,7
337,8
338,8
339,7
340,7
341,7
342,7
343,7
344,7
345,7
346,7
347,7
348,7
349,7
350,7
351,7
352,7
353,7
354,7
355,7
356,7
357,7
358,8
359,7
360,7
361,8
362,8
363,8
364,7
365,8
366,8
367,1
368,3
369,9
370,7
371,2
372,6
373,2
374,7
375,14
376,4
377,10
378,7
379,6
380,4
381,14
382,3
383,5
384,4
385,2
386,3
387,4
388,3
389,2
390,3
391,3
392,3
393,3
394,6
395,3
396,3
397,3
398,7
399,3
400,3
401,3
402,3
403,3
404,2
405,3
406,4
407,4
408,5
409,5
410,6
411,8
412,8
413,14
414,11
415,11
416,11
417,11
418,11
419,11
420,10
421,10
422,10
423,10
424,9
425,8
426,8
427,8
428,8
429,8
430,8
431,8
432,8
433,8
434,8
435,7
436,7
437,8
438,7
439,7
440,7
441,8
442,7
443,7
444,7
445,8
446,8
447,0
448,0
449,8
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,1
465,1
466,2
467,1
468,2
469,2
470,2
471,2
472,2
473,2
474,2
475,3
476,4
477,5
478,8
479,4
480,4
481,2
482,3
483,13
484,4
485,3
486,3
487,13
488,3
489,3
490,3
491,13
492,3
493,3
494,3
495,3
496,2
497,3
498,7
499,3
500,2
501,3
502,3
503,3
504,2
505,3
506,4
507,10
508,11
509,5
510,11
511,10
512,11
513,11
514,10
515,10
516,10
517,10
518,8
519,10
520,8
521,8
522,8
523,8
524,9
525,8
526,8
527,8
528,8
529,8
530,8
531,7
532,8
533,8
534,8
535,8
536,8
537,8
538,8
539,8
540,8
541,8
542,8
543,8
544,8
545,8
546,8
547,8
548,8
549,8
550,0
551,0
552,8
553,0
554,0
555,5
556,5
557,4
558,4
559,5
560,3
561,4
562,2
563,2
564,2
565,2
566,7
567,7
568,4
569,5
570,7
571,4
572,4
573,4
574,4
575,4
576,4
577,3
578,3
579,4
580,4
581,4
582,4
583,4
584,4
585,3
586,13
587,4
588,4
589,4
590,7
591,4
592,4
593,3
594,11
595,3
596,2
597,10
598,4
599,10
600,11
601,10
602,6
603,10
604,8
605,9
606,9
607,10
608,11
609,13
610,13
611,13
612,13
613,13
614,13
615,13
616,13
617,12
618,12
619,12
620,12
621,11
622,11
623,12
624,11
625,11
626,11
627,8
628,12
629,8
630,9
631,9
632,9
633,9
634,9
635,9
636,9
637,9
638,9
639,9
640,9
641,9
642,9
643,9
644,8
645,9
646,6
647,9
648,5
649,5
650,4
651,5
652,5
653,4
654,4
655,5
656,4
657,4
658,4
659,5
660,7
661,8
662,18
663,17
664,21
665,7
666,7
667,19
668,21
669,21
670,5
671,24
672,4
673,4
674,4
675,4
676,4
677,3
678,3
679,3
680,3
681,3
682,4
683,4
684,4
685,4
686,7
687,3
688,3
689,8
690,7
691,4
692,11
693,6
694,6
695,10
696,6
697,6
698,6
699,10
700,11
701,12
702,20
703,10
704,10
705,10
706,20
707,10
708,9
709,9
710,13
711,8
712,8
713,8
714,7
715,12
716,12
717,11
718,11
719,7
720,11
721,11
722,11
723,12
724,12
725,12
726,9
727,12
728,12
729,12
730,12
731,12
732,11
733,11
734,12
735,12
736,11
737,11
738,11
739,11
740,7
741,11
742,11
743,7
744,7
745,11
746,6
747,5
748,5
749,5
750,11
751,5
752,7
753,10
754,9
755,17
756,8
757,15
758,18
759,6
760,5
761,15
762,5
763,5
764,6
765,15
766,5
767,4
768,4
769,3
770,3
771,24
772,3
773,3
774,4
775,3
776,3
777,3
778,3
779,3
780,3
781,3
782,4
783,4
784,4
785,3
786,3
787,4
788,3
789,6
790,6
791,6
792,6
793,6
794,6
795,6
796,6
797,6
798,10
799,10
800,9
801,9
802,9
803,10
804,9
805,9
806,9
807,8
808,8
809,8
810,7
811,7
