year,month,day,hour,minute,PAH
2019,9,30,11,15,2.3
2019,9,30,11,30,2.5
2019,9,30,11,45,2.4
2019,9,30,12,0,2.3
2019,9,30,12,15,2.4
2019,9,30,12,30,2.1
2019,9,30,12,45,2
2019,9,30,13,0,1.9
2019,9,30,13,15,1.5
2019,9,30,13,30,1.6
2019,9,30,13,45,1.5
2019,9,30,14,0,1.6
2019,9,30,14,15,2.5
2019,9,30,14,30,4
2019,9,30,14,45,4.8
2019,9,30,15,0,5.5
2019,9,30,15,15,5.5
2019,9,30,15,30,5
2019,9,30,15,45,4.8
2019,9,30,16,0,4.8
2019,9,30,16,15,5.1
2019,9,30,16,30,5
2019,9,30,16,45,5.8
2019,9,30,17,0,6.4
2019,9,30,17,15,6.2
2019,9,30,17,30,6.1
2019,9,30,17,45,5.7
2019,9,30,18,0,5.5
2019,9,30,18,15,5.5
2019,9,30,18,30,5.4
2019,9,30,18,45,5.2
2019,9,30,19,0,4.6
2019,9,30,19,15,4.2
2019,9,30,19,30,4.2
2019,9,30,19,45,3.9
2019,9,30,20,0,3.9
2019,9,30,20,15,4
2019,9,30,20,30,3.9
2019,9,30,20,45,3.9
2019,9,30,21,0,3.9
2019,9,30,21,15,3.8
2019,9,30,21,30,3.6
2019,9,30,21,45,3.6
2019,9,30,22,0,3.7
2019,9,30,22,15,3.8
2019,9,30,22,30,3.8
2019,9,30,22,45,3.8
2019,9,30,23,0,3.5
2019,9,30,23,15,4.1
2019,9,30,23,30,5.4
2019,9,30,23,45,6.2
2019,10,1,0,0,7.3
2019,10,1,0,15,7.7
2019,10,1,0,30,7.6
2019,10,1,0,45,7.7
2019,10,1,1,0,7.8
2019,10,1,1,15,7.6
2019,10,1,1,30,7.4
2019,10,1,1,45,7.6
2019,10,1,2,0,8
2019,10,1,2,15,8
2019,10,1,2,31,8
2019,10,1,2,45,8.4
2019,10,1,3,0,8.35
2019,10,1,3,15,8.35
2019,10,1,3,30,8.35
2019,10,1,3,45,8.3
2019,10,1,4,0,8.5
2019,10,1,4,15,8.5
2019,10,1,4,30,8
2019,10,1,4,45,8.2
2019,10,1,5,0,8.3
2019,10,1,5,15,8.3
2019,10,1,5,30,8.6
2019,10,1,5,45,8.3
2019,10,1,6,0,7
2019,10,1,6,15,7
2019,10,1,6,30,8.3
2019,10,1,6,45,9.1
2019,10,1,7,0,10
2019,10,1,7,15,9.7
2019,10,1,7,30,7.6
2019,10,1,7,45,6.2
2019,10,1,8,0,5.7
2019,10,1,8,15,5
2019,10,1,8,30,4.1
2019,10,1,8,45,3.2
2019,10,1,9,0,2.6
2019,10,1,9,15,2.2
2019,10,1,9,30,2.4
2019,10,1,9,45,2.5
2019,10,1,10,0,2.3
2019,10,1,10,15,2.3
2019,10,1,10,30,2.2
2019,10,1,10,45,2.1
2019,10,1,11,0,2.2
2019,10,1,11,15,2.1
2019,10,1,11,30,2.4
2019,10,1,11,45,2.8
2019,10,1,12,0,3.1
2019,10,1,12,15,3.1
2019,10,1,12,30,3.1
2019,10,1,12,45,3.1
2019,10,1,13,0,3.2
2019,10,1,13,15,3.3
2019,10,1,13,30,3.8
2019,10,1,13,45,3.9
2019,10,1,14,0,3.5
2019,10,1,14,15,3.9
2019,10,1,14,30,6.3
2019,10,1,14,45,8.9
2019,10,1,15,0,9.7
2019,10,1,15,15,9
2019,10,1,15,30,5.9
2019,10,1,15,45,3.1
2019,10,1,16,0,2.5
2019,10,1,16,15,3
2019,10,1,16,30,3.6
2019,10,1,16,45,4.1
2019,10,1,17,0,4.6
2019,10,1,17,15,5.6
2019,10,1,17,30,6.5
2019,10,1,17,45,7.6
2019,10,1,18,0,8.6
2019,10,1,18,15,9
2019,10,1,18,30,9.2
2019,10,1,18,45,9
2019,10,1,19,0,9.1
2019,10,1,19,15,8.9
2019,10,1,19,30,8.9
2019,10,1,19,45,9.2
2019,10,1,20,0,9
2019,10,1,20,15,9.1
2019,10,1,20,30,9.1
2019,10,1,20,45,9
2019,10,1,21,0,9
2019,10,1,21,15,9.3
2019,10,1,21,30,8.8
2019,10,1,21,45,8.3
2019,10,1,22,0,8
2019,10,1,22,15,7.4
2019,10,1,22,30,7.4
2019,10,1,22,45,7.3
2019,10,1,23,0,7.3
2019,10,1,23,15,7.2
2019,10,1,23,30,7.2
2019,10,1,23,45,7.3
2019,10,2,0,0,7.1
2019,10,2,0,15,7.3
2019,10,2,0,30,7.2
2019,10,2,0,45,7.3
2019,10,2,1,0,7.4
2019,10,2,1,15,7.2
2019,10,2,1,30,7.3
2019,10,2,1,45,7.2
2019,10,2,2,0,7.3
2019,10,2,2,15,7.3
2019,10,2,2,30,7.4
2019,10,2,2,45,7.3
2019,10,2,3,0,7.2
2019,10,2,3,15,7.2
2019,10,2,3,30,7.1
2019,10,2,3,45,7.2
2019,10,2,4,0,7.2
2019,10,2,4,15,7.2
2019,10,2,4,30,7.2
2019,10,2,4,45,7.2
2019,10,2,5,0,7.5
2019,10,2,5,15,7.2
2019,10,2,5,30,7.1
2019,10,2,5,45,6.5
2019,10,2,6,0,5.1
2019,10,2,6,15,3.9
