year,month,day,hour,minute,PAH
2018,12,13,17,30,8
2018,12,13,18,0,7.9
2018,12,13,18,30,8
2018,12,13,19,0,7.4
2018,12,13,19,30,7.5
2018,12,13,20,0,8.2
2018,12,13,20,30,8.1
2018,12,13,21,0,8.3
2018,12,13,21,30,8.3
2018,12,13,22,0,8
2018,12,13,22,30,8.2
2018,12,13,23,0,8.2
2018,12,13,23,30,7.7
2018,12,14,0,0,7.6
2018,12,14,0,30,7.8
2018,12,14,1,0,8
2018,12,14,1,30,8.2
2018,12,14,2,0,7.9
2018,12,14,2,30,8
2018,12,14,3,0,8.2
2018,12,14,3,30,7.9
2018,12,14,4,0,7.8
2018,12,14,4,30,8
2018,12,14,5,30,7.8
2018,12,14,6,0,11.8
2018,12,14,6,30,7.8
2018,12,14,7,0,7.8
2018,12,14,7,30,8
2018,12,14,8,0,7.7
2018,12,14,8,30,7.2
2018,12,14,9,0,7
2018,12,14,9,30,6.9
2018,12,14,10,0,6.6
2018,12,14,10,30,6.6
2018,12,14,11,0,6.9
2018,12,14,11,30,6.7
2018,12,14,11,45,6.7
2018,12,14,12,0,6.4
2018,12,14,12,15,6.5
2018,12,14,12,30,6.5
2018,12,14,12,45,6.6
2018,12,14,13,0,6.9
2018,12,14,13,15,7
2018,12,14,13,30,7.2
2018,12,14,13,45,7
2018,12,14,14,0,7.2
2018,12,14,14,15,7.1
2018,12,14,14,30,7.1
2018,12,14,14,45,7.1
2018,12,14,15,0,7.3
2018,12,14,15,15,7.7
2018,12,14,15,30,11.8
2018,12,14,15,45,16.2
2018,12,14,16,0,20.1
2018,12,14,16,15,24
2018,12,14,16,30,20.5
2018,12,14,16,45,16.9
2018,12,14,17,0,13.2
2018,12,14,17,15,9.6
2018,12,14,17,30,9.5
2018,12,14,17,45,9.4
2018,12,14,18,0,9.2
2018,12,14,18,15,9.3
2018,12,14,18,30,9.3
2018,12,14,18,45,9.3
2018,12,14,19,0,9.6
2018,12,14,19,15,9.5
2018,12,14,19,30,9.5
2018,12,14,19,45,9.3
2018,12,14,20,0,9.3
2018,12,14,20,15,9.2
2018,12,14,20,30,9.4
2018,12,14,20,45,9.5
2018,12,14,21,0,9.5
2018,12,14,21,15,9.5
2018,12,14,21,30,9.2
2018,12,14,21,45,9.3
2018,12,14,22,0,9.2
2018,12,14,22,15,9.5
2018,12,14,22,30,9.6
2018,12,14,22,45,9.6
2018,12,14,23,0,9.6
2018,12,14,23,15,9.3
2018,12,14,23,30,9.1
2018,12,14,23,45,9.1
2018,12,15,0,0,8.9
2018,12,15,0,15,8.9
2018,12,15,0,30,8.9
2018,12,15,0,45,8.9
2018,12,15,1,0,9
2018,12,15,1,15,9
2018,12,15,1,30,9.1
2018,12,15,1,45,9
2018,12,15,2,0,9.1
2018,12,15,2,15,9.1
2018,12,15,2,30,9.1
2018,12,15,2,45,9.1
2018,12,15,3,0,8.9
2018,12,15,3,15,8.9
2018,12,15,3,30,9
2018,12,15,3,45,9
2018,12,15,4,0,9.2
2018,12,15,4,15,9.1
2018,12,15,4,30,9
2018,12,15,4,45,9
2018,12,15,5,0,8.9
2018,12,15,5,30,9.1
2018,12,15,5,45,9
2018,12,15,6,0,9.1
2018,12,15,6,15,11.4
2018,12,15,6,30,9.2
2018,12,15,6,45,9.3
2018,12,15,7,0,9.1
2018,12,15,7,15,9.2
2018,12,15,7,30,8.9
2018,12,15,7,45,9.2
2018,12,15,8,0,11.8
2018,12,15,8,15,15.1
2018,12,15,8,30,18.5
2018,12,15,8,45,21.7
2018,12,15,9,0,19.9
2018,12,15,9,15,16.6
2018,12,15,9,30,13
2018,12,15,9,45,9.4
2018,12,15,10,0,8.5
2018,12,15,10,15,8.5
2018,12,15,10,30,8.6
