HistoricWindow,PredictionWindow,MAE,MSE,RMSE
PAH-24,quarter,1.9611125238397966,12.820185568976477,3.5805286717154603
PAH-24,half,1.3712253655435473,6.772094230769231,2.602324774268045
PAH-24,PAH+1,2.769618563254927,23.314918658614115,4.828552439252795
PAH-24,PAH+2,3.4082994278448826,32.838060648442465,5.730450300669439
PAH-24,PAH+3,3.774152892561984,39.85341565479975,6.312956173996438
PAH-24,PAH+4,3.8728417037507943,43.576140336935794,6.601222639552145
PAH-24,PAH+6,4.095193897012079,48.46297733630006,6.961535558790176
PAH-24,PAH+12,4.190926573426573,45.52864003496503,6.747491388283873
PAH-24,PAH+24,3.6217546090273367,34.18750804195805,5.8470084694618025
PAH-12,quarter,1.9309281627463448,12.442424729815638,3.527382135495903
PAH-12,half,1.3811506675143037,6.777678162746344,2.6033974269685265
PAH-12,PAH+1,2.666029879211697,22.0726520661157,4.698154112639953
PAH-12,PAH+2,3.178010171646535,28.446485632549265,5.333524691285235
PAH-12,PAH+3,3.4978432930705656,32.9499617768595,5.7402057260049055
PAH-12,PAH+4,3.5413318499682136,35.148784233947865,5.9286410107163565
PAH-12,PAH+6,3.685508582326764,36.68179243483789,6.05654954861577
PAH-12,PAH+12,3.656125238397965,35.73007991099809,5.977464337911026
PAH-12,PAH+24,3.732465034965035,35.05136025111253,5.920418925305246
PAH-6,quarter,1.8654513668150032,11.560859027336301,3.4001263252026828
PAH-6,half,1.3266783216783216,6.604653941513033,2.5699521282531768
PAH-6,PAH+1,2.658750794659886,22.046707438016526,4.695392149545821
PAH-6,PAH+2,3.2082136045772405,29.0401569612206,5.38889199754649
PAH-6,PAH+3,3.5417116973935157,34.33632712968849,5.859720738199773
PAH-6,PAH+4,3.681560712015257,38.15859113159568,6.177264049042721
PAH-6,PAH+6,3.8700206611570245,40.696870867768595,6.379409915326699
PAH-6,PAH+12,3.932900508582327,39.670152749523204,6.298424624421825
PAH-6,PAH+24,3.7310855054036876,36.42211444691672,6.035073690263999
PAH-3,quarter,1.8355022250476796,11.075773108709472,3.328028411643968
PAH-3,half,1.3012523839796566,6.065641513032422,2.4628523124686996
PAH-3,PAH+1,2.6125000000000003,21.171196074380166,4.6012168036705425
PAH-3,PAH+2,3.068277177368087,27.66512244119517,5.259764485335363
PAH-3,PAH+3,3.4977860775588048,34.160993531468534,5.844740672730359
PAH-3,PAH+4,3.703350286077559,39.715152256834074,6.301995894701461
PAH-3,PAH+6,3.981171328671329,43.30174461220597,6.58040611301506
PAH-3,PAH+12,4.0632914812460275,41.9938333280356,6.480264911871705
PAH-3,PAH+24,3.818755562619199,37.403277670057214,6.115821912879512
PAH-1,quarter,1.7845089001907186,11.073786602034328,3.327729947281529
PAH-1,half,1.2408375715193898,5.736887650985378,2.3951800873807754
PAH-1,PAH+1,2.51020979020979,20.4069812460267,4.5174086870712395
PAH-1,PAH+2,3.117420534011443,28.123463302606485,5.303155975700364
PAH-1,PAH+3,3.5374713922441194,34.9492187698665,5.911786427964604
PAH-1,PAH+4,3.7075556261919895,40.04092126509854,6.327789603415915
PAH-1,PAH+6,4.047369675778767,45.88359775905913,6.7737432604918775
PAH-1,PAH+12,4.14791958041958,45.44293030832803,6.741137167298113
PAH-1,PAH+24,3.793021296884933,37.63434013032422,6.134683376534132
