HistoricWindow,PredictionWindow,MAE,MSE,RMSE
PAH-24,PAH+1,2.6424944927872143,19.87435952246685,4.458066792059856
PAH-24,PAH+2,3.58569861983611,31.302938680149353,5.594902919635814
PAH-24,PAH+3,4.126908020464222,39.15775089132106,6.25761543172166
PAH-24,PAH+4,4.428288039519772,45.21766193903145,6.724407924793933
PAH-24,PAH+6,4.6832103176896185,50.77590946955652,7.125721680612885
PAH-24,PAH+12,4.669862079656671,48.85217247892875,6.9894329154037065
PAH-24,PAH+24,3.7665619366901475,32.44245370954647,5.69582774577554
PAH-12,PAH+1,2.643812723180226,19.88247003207268,4.458976343520189
PAH-12,PAH+2,3.5431598312210344,30.18949214368895,5.494496532321133
PAH-12,PAH+3,4.056911711093243,37.21965964603217,6.100791722885823
PAH-12,PAH+4,4.282223631148919,41.13118590330132,6.413359954290834
PAH-12,PAH+6,4.47554625508543,44.37785206259034,6.6616703658009335
PAH-12,PAH+12,3.77895542083325,33.85461565805263,5.818471934971641
PAH-12,PAH+24,3.8535013872460007,33.514615457533,5.78918089694328
PAH-6,PAH+1,2.615340128620467,19.693247689570736,4.437707481298282
PAH-6,PAH+2,3.4470683493199417,29.171486062693198,5.401063419614067
PAH-6,PAH+3,3.9207422138860903,35.48934267993246,5.957293234341622
PAH-6,PAH+4,4.170808700803638,39.71422564113946,6.301922376635518
PAH-6,PAH+6,4.37966554770889,43.9482067619424,6.629344368935921
PAH-6,PAH+12,4.465623801622039,44.297334751316754,6.655624294633581
PAH-6,PAH+24,3.8717075444598428,34.29962201200816,5.85658791550235
PAH-3,PAH+1,2.628066090943237,19.55554221301153,4.42216487854213
PAH-3,PAH+2,3.506229033319997,29.146034369755526,5.398706731223277
PAH-3,PAH+3,4.0525938843526985,37.52525796452849,6.125786313978679
PAH-3,PAH+4,4.358788297751515,43.22992649295983,6.574946881379334
PAH-3,PAH+6,4.531495374864496,46.94587315956001,6.851705857635747
PAH-3,PAH+12,4.5719334647954355,45.410722349951754,6.73874783249468
PAH-3,PAH+24,3.8676791204514602,34.14834316819223,5.8436583719612
PAH-1,PAH+1,2.5970282679054613,19.27373434904121,4.390186140591445
PAH-1,PAH+2,3.5429726726711293,29.989936629786996,5.47630684218726
PAH-1,PAH+3,4.089724556100747,38.225425075819956,6.182671354343522
PAH-1,PAH+4,4.426132067017306,44.65450552685003,6.682402676197389
PAH-1,PAH+6,4.718612203302179,51.09842858510952,7.148316486076251
PAH-1,PAH+12,4.681554139491163,49.48079683661712,7.0342587979556965
PAH-1,PAH+24,3.8758407039722558,34.37266341399744,5.862820431669167
