MovingAverage,HistoricWindow,PredictionWindow,MAE,MSE,RMSE
MPAH-6,PAH-24,PAH+1,3.3550349650349647,31.593396726001274,5.620800363471494
MPAH-6,PAH-24,PAH+2,3.380281309599492,31.914849793388427,5.649322949999267
MPAH-6,PAH-24,PAH+3,3.4519421487603306,32.650692784488236,5.714078472027509
MPAH-6,PAH-24,PAH+4,3.437819453273999,33.54577498410681,5.791871457836992
MPAH-6,PAH-24,PAH+6,3.50282104259377,32.89302007310871,5.735243680359947
MPAH-6,PAH-24,PAH+12,3.5159742530197073,32.33715300381437,5.686576562732131
MPAH-6,PAH-24,PAH+24,3.368534647171011,29.450842657342662,5.426863058650242
MPAH-6,PAH-12,PAH+1,3.317638270820089,31.23545788302606,5.5888691059127575
MPAH-6,PAH-12,PAH+2,3.3209361093452006,29.82816937380801,5.46151713114662
MPAH-6,PAH-12,PAH+3,3.2887650985378256,28.736223601398603,5.360617837656272
MPAH-6,PAH-12,PAH+4,3.2457358550540367,28.540381420851876,5.342319853851122
MPAH-6,PAH-12,PAH+6,3.3288270820089,29.62791659249841,5.443153184735701
MPAH-6,PAH-12,PAH+12,3.3002797202797205,30.98686897647807,5.566585037208905
MPAH-6,PAH-12,PAH+24,3.6296376350921804,33.281847012078835,5.769042122577962
MPAH-6,PAH-6,PAH+1,3.3274872854418307,30.785382151938975,5.548457637212253
MPAH-6,PAH-6,PAH+2,3.374516846789574,31.61830715193897,5.623015841338078
MPAH-6,PAH-6,PAH+3,3.3862921169739355,31.28150437062937,5.592987070486519
MPAH-6,PAH-6,PAH+4,3.3775890019071833,31.990466862682773,5.656011568471441
MPAH-6,PAH-6,PAH+6,3.455089001907184,33.15591678321678,5.758117468688598
MPAH-6,PAH-6,PAH+12,3.457856007628735,32.280875890019075,5.681626165986202
MPAH-6,PAH-6,PAH+24,3.607142403051494,32.87125241576605,5.733345656400463
MPAH-6,PAH-3,PAH+1,3.3997886204704386,34.28030027018436,5.854938109850894
MPAH-6,PAH-3,PAH+2,3.326069612205976,32.35394321360458,5.6880526732445595
MPAH-6,PAH-3,PAH+3,3.350956770502225,31.173401144310237,5.583314530304579
MPAH-6,PAH-3,PAH+4,3.3615543547361733,31.914638397965675,5.649304240166719
MPAH-6,PAH-3,PAH+6,3.458901780038144,31.568820804195802,5.618613779589749
MPAH-6,PAH-3,PAH+12,3.519122695486332,33.33717040686586,5.773834982649388
MPAH-6,PAH-3,PAH+24,3.7096265098537824,35.26034032104259,5.938041791789831
MPAH-6,PAH-1,PAH+1,3.127372854418309,30.176892260012714,5.493349821376089
MPAH-6,PAH-1,PAH+2,3.304254609027337,32.45957833757152,5.697330808156704
MPAH-6,PAH-1,PAH+3,3.3740575333757152,32.63272067705022,5.712505639126339
MPAH-6,PAH-1,PAH+4,3.3253083280356006,32.88742863954228,5.734756197044673
MPAH-6,PAH-1,PAH+6,3.4166322314049586,31.850244739351556,5.643602106753413
MPAH-6,PAH-1,PAH+12,3.4598839796567065,31.469792260012714,5.609794315303612
MPAH-6,PAH-1,PAH+24,3.5494675778766687,32.770947695486335,5.724591487214291
MPAH-3,PAH-24,PAH+1,3.3414828353464716,32.910201033057845,5.73674132526976
MPAH-3,PAH-24,PAH+2,3.413691989828353,33.75755332167832,5.810125069366263
MPAH-3,PAH-24,PAH+3,3.5450524475524476,35.009242832167836,5.916860893427176
MPAH-3,PAH-24,PAH+4,3.585071519389701,36.214507771773675,6.017849098454835
MPAH-3,PAH-24,PAH+6,3.671980292434838,36.2092923394787,6.017415752586712
MPAH-3,PAH-24,PAH+12,3.714782263191354,36.983577638270816,6.0814124706576855
MPAH-3,PAH-24,PAH+24,3.5392403051493964,32.43715390972664,5.695362491512427
MPAH-3,PAH-12,PAH+1,3.3577288620470442,33.350035680228864,5.774948976417789
MPAH-3,PAH-12,PAH+2,3.3473680864589954,32.384648728544185,5.690751156793292
MPAH-3,PAH-12,PAH+3,3.3096837253655433,30.00716555944056,5.477879659087132
MPAH-3,PAH-12,PAH+4,3.28572631913541,29.73474591544819,5.452957538386686
MPAH-3,PAH-12,PAH+6,3.3516417673235854,29.915176335028608,5.469476788050993
MPAH-3,PAH-12,PAH+12,3.3290972663699936,30.942276255562614,5.562578202197486
MPAH-3,PAH-12,PAH+24,3.7079084551811823,34.356153846153845,5.861412274030368
MPAH-3,PAH-6,PAH+1,3.4167816274634455,35.03148227908455,5.91873992325094
MPAH-3,PAH-6,PAH+2,3.5122314049586776,36.2042854100445,6.016999701682268
MPAH-3,PAH-6,PAH+3,3.508259694850604,35.0521611093452,5.920486560186181
MPAH-3,PAH-6,PAH+4,3.499663064208519,36.02785000000001,6.002320384651257
MPAH-3,PAH-6,PAH+6,3.5662650985378255,35.33129418308964,5.944013306099645
MPAH-3,PAH-6,PAH+12,3.5805769230769227,34.48284117927527,5.872209224753089
MPAH-3,PAH-6,PAH+24,3.743162746344565,35.957249713922444,5.996436417900422
MPAH-3,PAH-3,PAH+1,3.4112698664971393,35.32139210108074,5.943180301915864
MPAH-3,PAH-3,PAH+2,3.3817116973935155,34.8222486808646,5.901037932505145
MPAH-3,PAH-3,PAH+3,3.429005085823268,33.47564075015893,5.785813750040605
MPAH-3,PAH-3,PAH+4,3.4836331849968216,35.00655301970757,5.916633588427423
MPAH-3,PAH-3,PAH+6,3.648089637635092,36.326248537825805,6.02712605955988
MPAH-3,PAH-3,PAH+12,3.66107596948506,35.38311695804196,5.948370949935954
MPAH-3,PAH-3,PAH+24,3.857169421487603,37.85657420534012,6.1527696369472595
MPAH-3,PAH-1,PAH+1,3.1107501589319764,30.27662368086459,5.502419802311033
MPAH-3,PAH-1,PAH+2,3.318302606484425,33.568568849332486,5.793838869810973
MPAH-3,PAH-1,PAH+3,3.4439844246662434,33.94202385568977,5.825978360386328
MPAH-3,PAH-1,PAH+4,3.456878575969485,35.207769834710746,5.933613556232892
MPAH-3,PAH-1,PAH+6,3.518943102352193,35.21919397647807,5.93457614126553
MPAH-3,PAH-1,PAH+12,3.6240336935791477,35.34857406230134,5.94546668162402
MPAH-3,PAH-1,PAH+24,3.658316910362365,34.66667903687222,5.887841628039278
