,0,1,2,3,4,5,6,7
0,2019.0,10.0,27.0,20.0,15.0,9.861111111,9.4,11.3
1,2019.0,1.0,15.0,3.0,0.0,3.172222222,10.9,9.8
2,2019.0,8.0,25.0,19.0,45.0,22.32222222,13.7,15.7
3,2019.0,1.0,14.0,19.0,0.0,2.688888889,11.1,11.0
4,2019.0,9.0,15.0,23.0,15.0,13.16666667,2.8,2.9
5,2019.0,5.0,9.0,17.0,30.0,12.33888889,3.7,5.1
6,2019.0,2.0,16.0,20.0,15.0,5.061111111000001,10.1,9.4
7,2019.0,10.0,27.0,19.0,15.0,10.05555556,2.9,9.4
8,2019.0,1.0,12.0,3.0,30.0,4.0,9.9,9.2
9,2019.0,11.0,6.0,11.0,0.0,5.3833333329999995,9.3,8.9
10,2019.0,3.0,5.0,22.0,45.0,4.805555556,11.3,11.9
11,2018.0,12.0,30.0,11.0,45.0,5.827777778,7.6,8.3
12,2019.0,8.0,6.0,18.0,15.0,20.55,30.3,30.5
13,2019.0,2.0,10.0,6.0,15.0,3.872222222,9.5,9.6
14,2019.0,4.0,27.0,13.0,30.0,10.71666667,18.4,8.8
15,2019.0,5.0,27.0,8.0,30.0,12.03888889,9.9,14.4
16,2019.0,8.0,20.0,23.0,30.0,16.04444444,7.8,7.0
17,2019.0,6.0,7.0,22.0,30.0,15.7,22.9,16.9
18,2019.0,8.0,17.0,2.0,45.0,17.29444444,10.7,9.9
19,2019.0,1.0,19.0,18.0,45.0,2.633333333,12.8,12.5
20,2019.0,11.0,8.0,3.0,30.0,8.177777778,10.8,10.7
21,2019.0,7.0,21.0,19.0,45.0,18.83888889,49.3,50.5
22,2019.0,11.0,5.0,3.0,0.0,7.311111111000001,12.0,12.5
23,2019.0,11.0,11.0,23.0,30.0,5.944444444,12.3,10.6
24,2019.0,8.0,24.0,9.0,15.0,17.37777778,19.7,10.8
25,2019.0,7.0,28.0,10.0,45.0,20.82222222,34.0,21.2
26,2019.0,10.0,27.0,14.0,45.0,11.07777778,5.4,5.9
27,2019.0,10.0,16.0,5.0,15.0,12.62222222,8.8,8.7
28,2018.0,12.0,24.0,18.0,0.0,4.444444444,11.0,11.3
29,2019.0,8.0,24.0,13.0,45.0,19.33333333,8.1,6.4
30,2019.0,7.0,15.0,0.0,15.0,14.52777778,45.3,40.0
31,2019.0,4.0,20.0,2.0,30.0,7.555555556,23.0,23.2
32,2019.0,10.0,25.0,3.0,0.0,12.48333333,0.0,0.0
33,2019.0,3.0,18.0,12.0,15.0,6.377777778,8.2,6.8
34,2019.0,6.0,18.0,22.0,15.0,18.55555556,14.9,13.0
35,2019.0,3.0,7.0,4.0,30.0,6.061111111000001,9.3,9.3
36,2019.0,3.0,17.0,20.0,15.0,4.911111111,9.6,11.1
37,2019.0,2.0,26.0,13.0,0.0,7.411111111,6.3,6.5
38,2019.0,10.0,20.0,6.0,45.0,11.39444444,12.9,0.0
39,2019.0,11.0,10.0,6.0,45.0,7.1333333329999995,9.8,8.9
40,2019.0,9.0,15.0,14.0,30.0,15.52222222,3.5,2.9
41,2019.0,7.0,13.0,1.0,45.0,16.55,31.8,31.4
42,2019.0,5.0,26.0,10.0,30.0,12.40555556,7.1,7.1
43,2019.0,6.0,16.0,16.0,45.0,18.45555556,4.2,4.3
44,2019.0,5.0,19.0,9.0,0.0,12.75555556,14.9,5.9
45,2019.0,3.0,15.0,20.0,30.0,4.461111111,23.9,11.5
46,2019.0,8.0,17.0,20.0,0.0,17.85,14.9,21.6
47,2019.0,8.0,31.0,6.0,0.0,18.26111111,7.7,5.6
48,2019.0,7.0,10.0,2.0,45.0,13.75555556,22.6,23.0
49,2019.0,1.0,16.0,16.0,45.0,6.4,7.6,8.6
50,2019.0,5.0,25.0,11.0,0.0,14.81666667,30.4,32.0
51,2018.0,12.0,18.0,5.0,45.0,2.722222222,10.0,9.9
52,2019.0,9.0,6.0,23.0,15.0,14.22222222,12.4,11.8
53,2019.0,3.0,3.0,17.0,15.0,6.2,9.6,21.4
54,2019.0,9.0,25.0,1.0,45.0,13.5,7.3,7.4
55,2019.0,7.0,23.0,14.0,30.0,22.41111111,12.7,21.0
56,2019.0,5.0,23.0,3.0,30.0,10.17777778,11.2,10.3
57,2019.0,1.0,6.0,2.0,45.0,3.5333333330000003,10.4,10.3
58,2019.0,11.0,6.0,5.0,0.0,5.222222222,0.0,12.0
59,2018.0,12.0,16.0,7.0,45.0,1.5666666669999998,10.2,9.6
60,2018.0,12.0,23.0,18.0,30.0,2.055555556,10.9,22.7
61,2019.0,8.0,12.0,20.0,45.0,17.82777778,17.0,14.3
62,2019.0,6.0,29.0,15.0,30.0,21.98888889,6.0,11.8
63,2019.0,5.0,22.0,13.0,15.0,11.67222222,3.0,3.2
64,2018.0,12.0,22.0,5.0,45.0,2.883333333,9.4,9.4
65,2019.0,7.0,24.0,16.0,30.0,21.5,30.9,35.2
66,2019.0,4.0,14.0,2.0,0.0,3.294444444,0.0,0.0
67,2019.0,3.0,2.0,7.0,30.0,2.5722222219999997,12.7,11.3
68,2019.0,4.0,4.0,17.0,0.0,10.16111111,0.0,0.0
69,2019.0,1.0,6.0,9.0,0.0,3.672222222,17.9,8.9
