,0
0,11.3
1,10.2
2,15.5
3,10.8
4,3.0
5,5.4
6,8.8
7,11.3
8,8.5
9,9.1
10,11.2
11,7.9
12,33.0
13,8.6
14,6.1
15,20.7
16,7.4
17,12.3
18,10.3
19,12.2
20,10.7
21,48.9
22,12.6
23,9.9
24,12.4
25,13.1
26,6.1
27,8.7
28,11.2
29,11.8
30,37.5
31,24.4
32,9.4
33,6.6
34,12.0
35,9.3
36,10.7
37,4.7
38,0.0
39,7.9
40,2.9
41,28.2
42,13.6
43,5.7
44,4.5
45,11.0
46,20.0
47,6.4
48,21.0
49,8.7
50,14.0
51,9.9
52,10.2
53,11.4
54,7.5
55,22.6
56,8.4
57,10.5
58,13.1
59,9.3
60,11.9
61,12.4
62,15.5
63,3.6
64,9.5
65,44.8
66,0.0
67,20.4
68,0.0
69,9.2
70,12.2
71,23.7
72,17.8
73,4.1
74,16.0
75,10.7
76,10.1
77,7.8
78,4.7
79,16.3
80,9.9
81,19.5
82,11.2
83,17.1
84,9.9
85,11.0
86,9.6
87,6.65
88,38.6
89,4.1
90,11.6
91,32.1
92,20.9
93,11.6
94,8.5
95,10.2
96,10.1
97,0.0
98,14.4
99,12.8
100,17.8
101,10.3
102,9.6
103,16.0
104,5.5
105,11.1
106,21.9
107,26.4
108,3.6
109,12.1
110,9.0
111,0.0
112,11.1
113,4.0
114,37.3
115,9.6
116,8.2
117,11.4
118,17.2
119,12.3
120,16.9
121,10.1
122,16.5
123,9.6
124,6.5
125,8.5
126,30.0
127,18.8
128,7.5
129,21.7
130,12.6
131,9.2
132,19.8
133,0.0
134,28.5
135,7.8
136,5.6
137,13.1
138,15.7
139,0.0
140,10.4
141,24.7
142,13.0
143,3.6
144,12.4
145,23.5
146,32.1
147,11.1
148,8.8
149,13.2
150,9.5
151,13.2
152,8.0
153,37.8
154,5.1
155,11.8
156,10.9
157,7.7
158,7.7
159,26.1
160,9.2
161,17.2
162,7.4
163,6.8
164,10.3
165,11.4
166,7.1
167,9.4
168,10.0
169,8.3
170,6.8
171,13.0
172,18.5
173,33.6
174,0.0
175,8.0
176,18.0
177,0.0
178,22.5
179,9.2
180,8.3
181,9.3
182,4.4
183,11.0
184,12.1
185,8.9
186,2.9
187,6.4
188,10.6
189,10.8
190,2.9
191,21.8
192,6.3
193,10.3
194,11.2
195,9.3
196,10.8
197,10.8
198,8.2
199,7.3
200,12.4
201,5.0
202,25.7
203,0.0
204,10.0
205,9.5
206,10.4
207,6.1
208,8.6
209,40.3
210,11.0
211,16.5
212,13.0
213,7.8
214,9.1
215,18.1
216,10.6
217,10.0
218,17.6
219,0.0
220,3.1
221,29.9
222,14.2
223,9.8
224,33.5
225,0.0
226,14.5
227,10.2
228,66.4
229,18.1
230,12.5
231,8.7
232,3.7
233,9.3
234,7.3
235,10.7
236,16.3
237,8.0
238,10.2
239,9.8
240,18.0
241,9.7
242,10.0
243,7.1
244,9.7
245,12.0
246,10.1
247,0.0
248,14.1
249,8.7
250,5.1
251,12.1
252,39.3
253,5.0
254,7.5
255,6.4
256,8.7
257,59.8
258,13.5
259,5.9
260,0.0
261,6.7
262,9.7
263,6.0
264,11.2
265,9.3
266,5.8
267,0.0
268,3.7
269,7.1
270,11.4
271,0.0
272,0.0
273,15.3
274,7.8
275,11.2
276,13.3
277,62.6
278,23.2
279,13.9
280,0.0
281,21.3
282,5.1
283,10.2
284,10.7
285,11.0
286,8.6
287,27.8
288,4.0
289,23.6
290,12.4
291,3.2
292,16.2
293,7.9
294,3.9
295,9.5
296,41.5
297,9.7
298,3.6
299,6.2
300,3.2
301,5.0
302,6.4
303,12.2
304,26.6
305,4.9
306,7.9
307,9.2
308,3.5
309,2.9
310,12.9
311,30.1
312,17.3
313,22.9
314,12.8
315,26.2
316,11.3
317,25.6
318,8.0
319,19.3
320,19.6
321,7.9
322,10.3
323,9.8
324,37.1
325,35.6
326,9.8
327,12.5
328,16.7
329,28.2
330,10.5
331,11.0
332,17.2
333,7.8
334,11.0
335,5.7
336,11.4
337,9.1
338,32.9
339,31.7
340,23.6
341,13.8
342,10.2
343,0.0
344,8.3
345,6.9
346,10.1
347,4.6
348,35.6
349,9.2
350,6.4
351,0.0
352,9.0
353,8.0
354,11.6
355,21.9
356,22.1
357,14.0
358,8.4
359,14.1
360,6.4
361,9.3
362,8.5
363,15.5
364,15.7
365,8.7
366,3.3
367,7.4
368,9.8
369,24.5
370,0.0
371,12.3
372,10.3
373,0.0
374,20.1
375,9.1
376,10.5
377,10.5
378,8.1
