time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,precipType
1544482800,Windy and Partly Cloudy,wind,0.0,0.0,41.76,31.0,34.02,0.74,1008.8,29.08,37.59,335,0.41,0,10,343.7,
1544486400,Windy and Partly Cloudy,wind,0.0,0.0,41.01,30.4,34.69,0.78,1009.3,26.74,34.89,335,0.34,0,10,349.5,
1544490000,Windy and Partly Cloudy,wind,0.0,0.0,40.79,30.17,35.25,0.8,1009.9,26.37,33.79,338,0.38,0,10,352.0,
1544493600,Windy and Partly Cloudy,wind,0.0,0.0,40.75,30.17,35.75,0.82,1011.0,26.15,32.57,343,0.47,0,10,353.6,
1544497200,Windy and Partly Cloudy,wind,0.0,0.0,40.92,30.44,35.91,0.82,1011.7,25.86,31.48,347,0.55,0,10,355.1,
1544500800,Windy and Partly Cloudy,wind,0.0,0.0,41.07,30.75,35.85,0.81,1012.5,25.38,30.59,351,0.57,0,10,356.8,
1544504400,Partly Cloudy,partly-cloudy-night,0.0,0.0,41.21,31.04,35.86,0.81,1013.4,24.81,29.82,356,0.57,0,10,358.5,
1544508000,Mostly Cloudy,partly-cloudy-night,0.0,0.0,41.47,31.75,36.06,0.81,1014.4,22.99,26.41,358,0.6,0,10,360.6,
1544511600,Mostly Cloudy,partly-cloudy-night,0.0,0.0,41.6,31.94,36.01,0.8,1015.2,22.95,26.37,1,0.7,0,10,360.7,
1544515200,Mostly Cloudy,partly-cloudy-day,0.0002,0.03,41.7,32.01,35.91,0.8,1015.9,23.23,26.97,4,0.82,0,10,360.0,rain
1544518800,Overcast,cloudy,0.0004,0.04,41.81,32.14,35.92,0.79,1016.8,23.34,27.28,7,0.9,0,10,358.9,rain
1544522400,Overcast,cloudy,0.0002,0.04,41.95,32.37,36.28,0.8,1017.4,23.09,26.83,9,0.88,0,10,357.5,rain
1544526000,Mostly Cloudy,partly-cloudy-day,0.0,0.0,42.06,32.59,36.72,0.81,1018.2,22.7,26.09,11,0.83,0,10,355.9,
1544529600,Mostly Cloudy,partly-cloudy-day,0.0,0.0,41.85,32.74,37.6,0.85,1018.8,20.73,24.16,14,0.79,0,10,350.4,
1544533200,Mostly Cloudy,partly-cloudy-day,0.0,0.0,41.83,32.66,37.49,0.84,1019.4,21.0,24.13,14,0.8,0,10,347.3,
1544536800,Mostly Cloudy,partly-cloudy-day,0.0,0.0,41.82,32.49,37.08,0.83,1019.8,21.69,24.49,15,0.83,0,10,344.3,
1544540400,Mostly Cloudy,partly-cloudy-night,0.0003,0.08,41.84,32.45,36.64,0.82,1020.5,22.04,24.5,17,0.86,0,10,342.0,rain
1544544000,Overcast,cloudy,0.0004,0.07,41.86,32.56,36.41,0.81,1021.1,21.63,23.82,21,0.88,0,10,341.0,rain
1544547600,Overcast,cloudy,0.0004,0.04,41.84,32.7,36.22,0.8,1021.7,20.85,22.83,25,0.91,0,10,340.8,rain
1544551200,Overcast,cloudy,0.0004,0.04,41.85,33.07,36.0,0.8,1022.2,19.28,19.28,28,0.92,0,10,334.9,rain
1544554800,Overcast,cloudy,0.0006,0.04,41.62,32.92,35.36,0.78,1022.8,18.67,18.67,33,0.95,0,10,333.7,rain
1544558400,Overcast,cloudy,0.0007,0.05,41.24,32.57,34.75,0.78,1023.4,18.12,18.13,39,0.98,0,10,333.1,rain
1544562000,Overcast,cloudy,0.0008,0.07,40.95,32.47,35.59,0.81,1023.9,17.05,17.55,37,1.0,0,10,332.5,rain
1544565600,Overcast,cloudy,0.0007,0.05,40.38,31.73,34.57,0.8,1024.4,17.06,17.09,47,1.0,0,10,331.8,rain
